1|10000|Public
5000|$|... #Caption: A {{circle with}} 3rd-order contact at a <b>vertex</b> <b>of</b> <b>a</b> <b>curve</b> ...|$|E
50|$|In geometry, a vertex {{angle is}} the angle {{associated}} with <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> polygon. Often <b>a</b> <b>vertex</b> angle <b>of</b> <b>a</b> polygon {{is referred to}} simply as <b>an</b> angle <b>of</b> the polygon.|$|R
5000|$|... #Caption: The link <b>of</b> <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> {{tetrahedron}} is the triangle.|$|R
5000|$|... and [...] are two maps {{indicating}} {{the source and}} target <b>vertex</b> <b>of</b> <b>an</b> arc, ...|$|R
30|$|Every {{agent is}} modeled as <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> graph, i.e., agent i {{corresponds}} to vertex v_i∈V_T.|$|R
5000|$|... #Caption: <b>A</b> <b>vertex</b> <b>of</b> <b>an</b> {{angle is}} the {{endpoint}} where two line segments or rays come together.|$|R
5000|$|Medians connect each <b>vertex</b> <b>of</b> <b>a</b> {{triangle}} to {{the midpoint}} of the opposite side. The three medians meet at the centroid.|$|R
30|$|Case II: source {{positioned}} {{close to}} microphone 1, on the <b>vertex</b> <b>of</b> <b>an</b> isosceles triangle {{formed by the}} microphones and the source.|$|R
2500|$|If median m, {{altitude}} h, {{and internal}} bisector t all emanate {{from the same}} <b>vertex</b> <b>of</b> <b>a</b> triangle with circumradius R, then ...|$|R
50|$|If a line, not {{passing through}} any <b>vertex</b> <b>of</b> <b>a</b> {{triangle}}, meets {{one side of}} the triangle then it meets another side.|$|R
5000|$|By {{considering}} the connectivity of these neighboring vertices an (n−1)-polytope, the vertex figure, {{can be constructed}} for each <b>vertex</b> <b>of</b> <b>a</b> polytope: ...|$|R
5000|$|If median m, {{altitude}} h, {{and internal}} bisector t all emanate {{from the same}} <b>vertex</b> <b>of</b> <b>a</b> triangle with circumradius R, then ...|$|R
5000|$|The {{altitude}} <b>of</b> <b>a</b> triangle, {{which is}} the length from <b>a</b> <b>vertex</b> <b>of</b> <b>a</b> triangle to the line formed by the opposite side; ...|$|R
