2|35|Public
25|$|Add onions, {{garlic and}} bell peppers. Sauté <b>until</b> <b>vegetables</b> are tender.|$|E
5000|$|The vegetables, {{tamarind}} pulp, sambar powder, turmeric, salt, and asafoetida are boiled together <b>until</b> the <b>vegetables</b> are half-cooked. Then {{the cooked}} lentils (most often the split pigeon pea) are added {{and allowed to}} cook <b>until</b> the <b>vegetables</b> are done. A spice-scented oil {{is added to the}} cooked sambar for extra flavor and tempering, and the dish is served garnished with fresh coriander leaves or curry leaves.|$|R
50|$|The {{ingredients}} are first sautéd together in oil. Bring dashi, shiitake flavored broth, and mirin (sweet rice seasoning) {{to a simmer}} and let the chicken cook in the mixture. Then, insert taro root, dried shiitake mushrooms, konnyaku (yam cake), burdock root, lotus root, and carrots, and cook <b>until</b> the <b>vegetables</b> are tender. Sometimes, snap peas are added after the vegetables are completely cooked.|$|R
50|$|Filé powder {{is made by}} {{harvesting}} {{the young}} leaves and stems of the sassafras tree and grinding them. Filé powder is generally not added <b>until</b> after the <b>vegetables</b> and meats and/or seafood are finished cooking and removed from the heat source.|$|R
50|$|In 1909 {{developers}} Burton and Danforth {{laid out}} the present Ingleside town site, and in 1913 the Ingleside Common School District was formed. There were 80 students. In 1916 a hurricane destroyed many of the buildings that had built up in the town. Again growth in the area was stagnant. Grape production was begun again and was a booming industry between 1910 and 1920, fishing and vegetable production were the town’s economic mainstay <b>until</b> the <b>vegetable</b> sheds were closed in the 1950s.|$|R
500|$|Vegetable chips may be {{prepared}} with sliced vegetables that are fried, deep-fried, baked, dehydrated, or simply dried. Vegetable chips may be produced {{from a variety}} of root vegetables and leaf vegetables, such as carrot, turnip, parsnip, beet, radish, taro root, sweet potato, garlic, zucchini, cassava, kale, spinach, fennel and jicama, among others. Some baked versions utilize vegetables that are sliced, lightly tossed in oil, and then oven-baked <b>until</b> crisp. <b>Vegetable</b> chips prepared using this method have been described as more healthful compared to deep fried chips, particularly when prepared using [...] "heart-healthy" [...] olive oil.|$|R
50|$|Leptophos (O-(4-bromo-2,5-dichlorophenyl) O-methyl phenylphosphonothioate) {{belongs to}} the {{organophosphates}} and at room temperature it is a stable white solid. It {{is also known as}} Phosvel, Abar and Vcs 506. Leptophos was primarily used as a pesticide and fungicide. for rice, cotton, fruit and <b>vegetables</b> <b>until</b> its use was discontinued in 1975.|$|R
2500|$|The term chao appears for {{the first}} time in the sense of [...] "stir frying" [...] in the Qimin Yaoshu, a sixth-century {{agricultural}} manual, including in a recipe for scrambled eggs. In sources from the Tang dynasty (618–907), chao refers not to a cooking technique, but to a method for roasting tea leaves. It reappears as a cooking method in a dozen recipes from the Song dynasty (960–1279). The Song period is when the Chinese started to use vegetable oil for frying instead of animal fats. <b>Until</b> then, <b>vegetable</b> oil had been used chiefly in lamps.|$|R
50|$|The Holz Family Farmstead {{included}} an 80 acre family farm in Eagan in the U.S. state of Minnesota. Ground {{was broken by}} the Holz family in the 1870s, and they raised livestock, crops, fruits, and <b>vegetables</b> <b>until</b> 1993. In 1995 the city of Eagan purchased the property {{for use as a}} living farm museum.|$|R
50|$|It {{was used}} as a <b>vegetable</b> <b>until</b> the 20th century. The plant {{prevents}} scurvy, and it can be stored. The stem was eaten fresh, and the leaves could be boiled to a stew for storage. It could later be cooked up with milk into a tasty dish. The plant has also been used for dyeing.|$|R
5000|$|Ground {{sassafras}} leaf, {{known as}} filé, {{is generally not}} added to the gravy <b>until</b> after the <b>vegetables</b> and meats or seafood have finished cooking and {{have been removed from}} the heat source. If added during the boiling process, filé makes the gumbo too when added at the end, the gumbo gains a slightly stringy texture.|$|R
5000|$|Red cherry shrimp are {{primarily}} biofilm and algae eaters. They will eat any food intended for aquarium use, but some will prefer compressed algae discs (algae wafers). Blanched (boiled <b>until</b> soft) <b>vegetables</b> such as zucchini (courgette), baby carrots, peas and spinach {{can be used}} as a supplemental food, but should be fed sparingly. Uneaten vegetables can very quickly decompose and create water quality problems.To keep a clean substrate, some shrimp keepers put a glass bowl or glass plate on the bottom for the food. If feeding commercial fish/shrimp food ensure that there is no copper added (some breeders avoid only pure/elemental copper [...] ) as this is dangerous for shrimp. Many breeders think copper sulfates, found in most fish food, are tolerated in low amounts. Copper sulfates found in snail killer are in high amounts and will kill shrimp.|$|R
50|$|In Brazil, {{this dish}} is made {{exclusively}} with chicken (thus being called galinha à cabidela or galinha de cabidela), {{and is considered}} a typical dish {{of the city of}} Recife. It's also very common and a typical dish in the state of Minas Gerais where it receives the name galinha ao molho pardo. It is also common to cook only the chicken's blood, with vinegar and <b>vegetables,</b> <b>until</b> it becomes a sauce that can be added to rice or to the cooked chicken itself.|$|R
5000|$|The Romanian {{version is}} made usually with {{potatoes}} or eggplant or cabbage. The layers {{start with the}} vegetable, then the layer of meat (usually pork), then <b>vegetables,</b> <b>until</b> the pot is full. Sometimes bread crumbs are used for toppings, sometimes slices of tomatoes and crushed cheese. The pot is then filled with tomato sauce. There is also a pasta variant, with pasta being used instead of vegetables. The [...] "fasting" [...] variant, which is vegan, replaces meat with mushrooms or a mix of sautéed onions and rice.|$|R
50|$|Prior to European {{settlement}} {{the area}} was occupied by Tasmanian Aborigines. From autumn through winter various bands of the Oyster Bay Tribe congregated around the coastal areas to harvest shellfish and marine <b>vegetables</b> <b>until</b> the end of July, when swans and ducks arrived in the lagoons and riverine areas to lay their eggs and raise their young. In August most of the bands moved up the Little Swanport and Prosser Rivers to the Eastern Marshes to hunt birds, kangaroos and wallabies. The Linetemairrener people lived at the lagoon year round.|$|R
40|$|Root Cellar {{owned by}} Madonna Dalton on Fairy Pond Road in Cape Broyle. The cellar is a poured {{concrete}} foundation with a shed structure on top. The shed has a hatch entrance. It {{was built by}} Madonna’s late husband Michael Dalton in 1969. It has not been used for vegetable storage since the late 1980 ’s. The cellar is located closer to the house rather than the field {{to make it easier}} to get vegetables into the house. The Daltons grew their own <b>vegetables</b> <b>until</b> the late 1980 ’s and since then have been purchasing their vegetables from the local meat man...|$|R
5000|$|The {{first people}} to inhabit the Levendale area were the Portmairremener, a band of the Oyster Bay Tribe who lived mainly around {{the mouth of the}} Prosser River. Each winter various bands of the Oyster Bay Tribe congregated around the coastal areas of Great Oyster Bay to harvest {{shellfish}} and marine <b>vegetables</b> <b>until</b> the end of July, when swans and ducks arrived in the lagoons and riverine areas to lay their eggs and raise their young. In August the bands moved up the Little Swanport and Prosser Rivers to the Eastern Marshes to hunt birds, kangaroos and wallabies.|$|R
60|$|But {{not merely}} the squeamish love of the {{beautiful}} was gratified by my toil in the kitchen-garden. There was a hearty enjoyment, likewise, in observing {{the growth of the}} crook-necked winter-squashes from the first little bulb, with the withered blossom adhering to it, until they lay strewn upon the soil, big, round fellows, hiding their heads beneath the leaves, but turning up their great yellow rotundities to the noontide sun. Gazing at them, I felt that by my agency something worth living for had been done. A new substance was born into the world. They were real and tangible existences, which the mind could seize hold of and rejoice in. A cabbage, too,--especially the early Dutch cabbage, which swells to a monstrous circumference, until its ambitious heart often bursts asunder,--is a matter to be proud of when we can claim a share with the earth and sky in producing it. But, after all, the hugest pleasure is reserved <b>until</b> these <b>vegetable</b> children of ours are smoking on the table, and we, like Saturn, make a meal of them.|$|R
50|$|Bosanski lonac {{has been}} on tables of both {{the rich and the}} poor for {{hundreds}} of years. The wealthy prepared the dish with more meat and other expensive ingredients, while the poor used what was available. Typical ingredients are: beef, lamb, cabbage, potatoes, tomatoes, carrots, parsley, garlic, peppercorns (whole, not ground). Many different vegetables or meats may be used. Bosanski lonac is prepared by layering meat and vegetables (alternating layers of meat and <b>vegetables</b> <b>until</b> the pot is full) into a deep pot, then adding 1 - 2 dl water. The ingredients are usually cut into large pieces rather than finely chopped or minced.|$|R
50|$|Nagaiyas {{provide support}} when normal kinsmen wouldn’t be able to. For example, {{when a man}} consummates his marriage, he does not tell his kinsmen as {{to do so would}} be shameful (admitting that he is {{contaminated}} from sexual contact with a woman). However, he can freely tell his nagaiya without shame as his nagaiya are obligated to share the burden with him. Additionally, when his wife first menstruates (as menstruation is thought to be dangerous to men), a man stops eating pork, rats, possums, and spinach-like <b>vegetables</b> <b>until</b> his wife gives birth to his first child (to protect himself). The nagaiyas share these diet restrictions in order to show their support.|$|R
5000|$|Mariyappan {{was born}} in Periavadagampatti village, Salem district, Tamil Nadu, one of six {{children}} (four brothers and a sister). His father reportedly abandoned the family early on, and his mother, Saroja, raised her children as a single mother, carrying bricks as a labourer <b>until</b> becoming a <b>vegetable</b> seller, earning [...] a day. At the age of five, Mariyappan suffered permanent disability in his right leg when he was {{run over by a}} drunk bus driver while walking to school; the bus crushed his leg below the knee, causing it to become stunted. Despite this setback, he completed secondary schooling; he says he [...] "didn't see myself as different from able-bodied kids." ...|$|R
25|$|For {{nearly two}} centuries a farming community, San Jose {{produced}} {{a significant amount}} of fruits and <b>vegetables</b> <b>until</b> the 1960s, and many past and current names of teams, streets, buildings, and so on reflect its agricultural beginnings. Prunes, grapes, and apricots were some of the major crops. In 1922, the first commercial farming of broccoli in the U.S. was started in San Jose, by brothers Stephano and Andrea D'Arrigo. The Del Monte cannery in Midtown was the largest employer in the city for many years. There were so many orchards in the Santa Clara Valley, which emitted a delightful smell of ripening fruit, that a common nickname for the Santa Clara Valley was The Valley of Heart's Delight.|$|R
50|$|Arriving in a helicopter, {{carrying}} a ship, {{carrying a}} limo, with a helicopter inside, they pass themselves off in fancy uniforms as Viscount James Earl Tennisracquet and the Duke of LaCrosseteam on business with Carter. Mr. Barrington invites {{them into the}} Barrington Room and is ready to give them another chance until Peter blows their cover, angering Carter. Carter then makes Peter sing jump-rope songs about <b>vegetables</b> <b>until</b> he cries. The abuse of Peter wins Carter a second chance in the club while Peter is thrown out by Carter and Mr. Barrington as the real Viscount James Earl Tennisracquet and the Duke of LaCrosseteam have arrived {{only to be told}} of their previous arrival.|$|R
5000|$|In the Kamakura era (1192-1333), {{a common}} meal {{was made up}} of a bowl of rice, some dried fish, a serving of miso, and a fresh <b>vegetable.</b> <b>Until</b> the Muromachi era (1337 to 1573), miso was made without {{grinding}} the soybeans, somewhat like nattō. In the Muromachi era, Buddhist monks discovered that soybeans could be ground into a paste, spawning new cooking methods using miso to flavor other foods. In medieval times, the word temaemiso, meaning home-made miso, appeared. Miso production is a relatively simple process, so home-made versions spread throughout Japan. Miso was used as military provisions during the Sengoku era, and making miso was an important economic activity for daimyōs of that era.|$|R
50|$|As time passes, Aleasha {{begins to}} {{struggle}} with her shift from canine to human. She eats meals with the family, but dislikes eating <b>vegetables</b> (<b>until</b> Mom tricks her by dropping stir-fry ingredients on the floor, knowing Aleasha's dog instincts would cause her to eat the food as it fell). When Aleasha is allowed to go trick or treating on Halloween, disguised as a werewolf like Nick, she gives in to her canine side by howling in fear upon being spooked by a man {{pretending to be a}} scarecrow at one house. At the same time, Aleasha is beginning to look like less like a dog and more like a furry child, leaving her in a very awkward halfway point through her transformation. By Christmas, Aleasha begins to gain more human abilities such as color vision. However, she is also no longer able to communicate with the family cat, Miss Kitty, as Aleasha's ears are now more human than animal.|$|R
40|$|The tomato is {{probably}} the most widely grown vegetable by the home gardener because of its food value, many uses, and relative ease of culture (Figure 1). Originating in Central and South America, the tomato was domesticated in Mexico. There are many related wild species in South America. “Tomati ” was the name used by Native Americans. The tomato was first introduced to the United States in the 1700 s. It was once thought by early American colonists to be poisonous. Thomas Jefferson {{was one of the first}} to grow tomatoes, which were called “Love Apples” at the time. The tomato was not recognized as a useful <b>vegetable</b> <b>until</b> the 1800 s. Eaten raw or in innumerable cooked dishes, the tomato is an almost daily part of the American family diet. Figure 1. Tomato is the most popular home grown vegetable in the United States! Tomatoes come in many sizes and colors. Photo b...|$|R
40|$|This {{document}} {{presents a}} study about the viability and profability of a bio jet fuel production made of tobacco seeds oil. Firstly, an analisis {{about the state}} and role that bio jet fuel plays nowadays in the aeronautic industry is made, finding that although more than 2500 flights have been successfully operated using alternative fuels <b>until</b> 2016, <b>vegetable</b> oil based bio jet fuel productions represent an inexperienced study field, with great expectations and future ahead. Aeronautic organizations and airlines had commited with the main goal of neutralize green house growing emissions by 2020 and reduce by half of the levels reported in 2005 by 2050, bio jet fuels have become the main way of achieving that goal. Furthermore, economic fines will be charged to the companies that will not fulfill the emission level requirements. In 2011, Hydrotreated Esters of Fatty Acids HEFA technology is approved inside the ASTM D 7566 - 11 standard. The standard allows fabrication and comercialization of biojet fuels made of vegetable seed oils. Talking about viability, the biojet fuel production made of tobacco seed oil is viable at a local level. Spain, a country with small tobacco productions, {{has the power to}} produce about 2 million liters of biojet fuel, allowing to satisfy about 22 % of the anual fuel consumption used in the route Barcelona-Mallorca operated by a low cost airliner like Vueling, helping to reduce the green house emissions produced in that route. Finally, it is concluded that the individual process of fabricating biojet fuel with tobacco seed oil is not profitable selling at competitive prices, however; the global process taking into account co-products generated, it is profitable and competitive in the market...|$|R
