1|32|Public
5000|$|<b>Transport</b> <b>hazard</b> class(es) - {{to which}} of the nine classes does product belong to.|$|E
40|$|The report {{covers the}} {{following}} main topics: Transports to supply and reprocess nuclear power plants, licensing and monitoring of <b>transports,</b> <b>hazards</b> by radioactive <b>transports,</b> radiation {{exposure of the}} population and escorting personnel, surface contamination of casks and decreasing transports. (GL) SIGLEAvailable from TIB Hannover / FIZ - Fachinformationszzentrum Karlsruhe / TIB - Technische InformationsbibliothekDEGerman...|$|R
5000|$|... "Dangerous goods" [...] (also {{known as}} [...] "hazardous materials" [...] or [...] "HAZMAT" [...] in the United States) may be pure {{chemical}} substance (for example, trinitrotoluene (TNT), nitroglycerin), mixtures (for example, dynamite, gunpowder) or manufactured articles (for example, ammunition, fireworks). The <b>transport</b> <b>hazards</b> that they pose are grouped into nine classes, {{which may be}} subdivided into divisions and/or packing groups. The most common dangerous goods are assigned a UN number, a four digit code which identifies it internationally: less common substances are transported under generic codes such as [...] "UN1993: flammable liquid, not otherwise specified".|$|R
5000|$|UltraBattery’s {{electrolyte}} solution contains H2SO4 in water, and its lead electrodes are inert. As the electrolyte is largely water, UltraBattery is fire retarding. UltraBatteries {{have the same}} <b>transport</b> and <b>hazard</b> restrictions as conventional VRLA batteries ...|$|R
5000|$|Munitions Logistics - safety {{principles}} and regulations for <b>transport</b> and storage, <b>hazard</b> classification and risk analysis; ...|$|R
40|$|The {{purpose of}} this {{resource}} is to demonstrate and explain the sources, <b>transport</b> and <b>hazards</b> of dust in the atmosphere. Dust imagery is available to reflect the global impact of this phenomenon as well as customizable satellite data. Assessments, experiments and demonstrations assist to reinforce targeted concepts. Educational levels: Primary elementary, Intermediate elementary...|$|R
40|$|Copyright © 2015 Kyle Dunno, William Whiteside, Ron Thomas and Kay Cooksey. This is an {{open access}} article {{distributed}} under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. Abstract Institutional retort pouches containing either water or 5 % starch solution were filled with varying amounts of headspace volume to determine if adding gaseous volume to the package can help it survive laboratory simulated engineering tests. Fixed displacement vibration testing and compression testing of the pouches yielded no differences {{in the amount of}} headspace volume. Significant differences were noted {{as a result of the}} shock testing (free fall drop method) when comparing the water filled pouches, but no headspace volume effect was observed for the 5 % starch solution pouches. The results from this study showed increasing the headspace volume of a retort pouch does provide increased protection to <b>transport</b> <b>hazards</b> (shock) for a low viscosity food simulant as compared with a highly viscous product packaged similarly...|$|R
40|$|ABSTRACT. Fogger {{application}} of pesticide in greenhouses can reduce application time and applicator contact with equipment. Since fog applications use {{smaller and more}} concentrated droplets than typical wet spray applications, potential for inhalation and off-target <b>transport</b> <b>hazards</b> may be increased. This study investigated temporal characteristics of airborne pesticide after thermal fogging of a greenhouse. Droplet size spectra and concentration of airborne pesticide were measured. Volume median diameter of the suspended aerosol decreased from 14 to 2. 3 µm during 1. 5 h after application. Concentration of airborne pesticide decreased by 60 % in the first hour after application and by 95 % during 12 h after application. Implications for respiratory exposure were analytically developed from observed data. Hand spraying with high-pressure, high-volume systems {{is the most common}} technique of pesticide application in greenhouse culture. However, fog or aerosol applications are feasible and often-used alternatives for enclosed structures. The motivations for fog application are the potential to increase spray deposition; improve pest control efficacy; and reduce application times, rates of active ingredients, and applicator exposure. A common fogging procedure in greenhouse operations is to apply the fog in late afternoon or early evening. This practice allow...|$|R
50|$|Transportation of {{dangerous}} goods (hazardous materials) in Canada by road is normally a provincial jurisdiction. The {{federal government has}} jurisdiction over air, most marine, and most rail transport. The federal government acting centrally created the federal transportation {{of dangerous}} goods act and regulations, which provinces adopted {{in whole or in}} part via provincial transportation of dangerous goods legislation. The result is that all provinces use the federal regulations as their standard within their province; some small variances can exist because of provincial legislation. Creation of the federal regulations was coordinated by <b>Transport</b> Canada. <b>Hazard</b> classifications are based upon the UN Model.|$|R
40|$|The {{licensing}} requirements of 10 CFR 71 (US Code of Federal Regulations) {{are the primary}} criteria used to license proposed US Department of Energy (DOE) shipments of nuclear components. However, if a shipment cannot meet 10 CFR 71 requirements, a Transportation System Risk Assessment (TSRA) is prepared to document: (1) the degree of compliance of proposed DOE shipments of nuclear components with applicable federal regulations, and (2) the risk associated with the proposed shipments. The Nuclear Explosive Safety Division (NESD) of the Department of Energy, Albuquerque Area Office (DOE-AL) is responsible for evaluating TSRAs and for preparing Safety Evaluation Reports (SERs) to authorize the off-site <b>transport.</b> <b>Hazards</b> associated with the transport may include the presence of fissile material, chemically and radiologically toxic uranium, and ionizing radiation. The Nuclear Regulatory Commission (NRC) has historically considered only radiological hazards in licensing the transport of radiological material because the US Department of Transportation considers {{licensing requirements}} of nonradiological (i. e., chemically toxic) hazards. The requirements of 10 CFR 71 are based primarily on consideration of radiological hazards. For completeness, this report provides information for assessing the effects of chemical toxicity. Evaluating the degree of compliance {{with the requirements of}} 10 CFR 71 is relatively straightforward. However, there are few precedents associated with developing TSRA risk assessments for packages that do not comply with all of the requirements of 10 CFR 71. The objective of the task is to develop Risk Evaluation Guidelines for DOE-AL to use when evaluating a TSRA. If the TSRA shows that the Risk Evaluation Guidelines are not exceeded, then from a risk perspective the TSRA should be approved if there is evidence that the ALARA (as low as reasonably achievable) principle has been applied...|$|R
40|$|In {{the world}} today over 23 million {{chemical}} compounds are known to man. 1 Of these chemicals, about 70 000 are in regular use and some 500 new ones are introduced every month into the market. 2 The extensive use of chemicals in industrial processes and their storage, disposal and <b>transport</b> present <b>hazards</b> of chemical accidents (incidents) {{with the potential to}} harm humans and the environment. The mass disaster at Bhopal, 3 the sarin subway attacks in Tokyo 4 and the Lake Nyos incident 5 have increased public awareness of the dangers of large acute chemical incidents in modern society. The majority of chemical incidents can do harm if incorrectly managed. The role of public health agencies, emergency response agencies, health providers and related organizations is to prevent, anticipate and respond t...|$|R
