1|10000|Public
50|$|Suppose we need <b>to</b> <b>square</b> <b>a</b> <b>number</b> x near 50. This number may be {{expressed}} as x = 50 &minus; n, {{and hence the}} answer x2 is (50−n)2, which is 502 − 100n + n2. We know that 502 is 2500. So we subtract 100n from 2500, and then add n2. Example, say we want to square 48, which is 50 &minus; 2. We subtract 200 from 2500 and add 4, and get x2 = 2304. For numbers larger than 50 (x = 50 + n), add n a hundred times instead of subtracting it.|$|E
5000|$|With the modulus {{out of the}} way, the {{asymptotic}} {{complexity of}} the algorithm only depends on the multiplication algorithm used <b>to</b> <b>square</b> s at each step. The simple [...] "grade-school" [...] algorithm for multiplication requires O(p2) bit-level or word-level operations <b>to</b> <b>square</b> <b>a</b> p-bit <b>number.</b> Since this happens O(p) times, the total time complexity is O(p3). A more efficient multiplication algorithm is the Schönhage-Strassen algorithm, {{which is based on}} the Fast Fourier transform. It only requires O(p log p log log p) time <b>to</b> <b>square</b> <b>a</b> p-bit <b>number.</b> This reduces the complexity to O(p2 log p log log p) or Õ(p2). Currently the most efficient known multiplication algorithm, Fürer's algorithm, only needs [...] time to multiply two p-bit numbers.|$|R
5000|$|... #Caption: One of {{the entrances}} <b>to</b> Riley <b>Square,</b> and <b>a</b> <b>number</b> 21 bus on Henley Road.|$|R
2500|$|With the modulus {{out of the}} way, the {{asymptotic}} {{complexity of}} the algorithm only depends on the multiplication algorithm used <b>to</b> <b>square</b> s at each step. The simple [...] "grade-school" [...] algorithm for multiplication requires O(p2) bit-level or word-level operations <b>to</b> <b>square</b> <b>a</b> p-bit <b>number.</b> Since this happens O(p) times, the total time complexity is O(p3). A more efficient multiplication algorithm is the Schönhage–Strassen algorithm, {{which is based on}} the Fast Fourier transform. It only requires O(p log p log log p) time <b>to</b> <b>square</b> <b>a</b> p-bit <b>number.</b> This reduces the complexity to O(p2 log p log log p) or Õ(p2). from O(p3) to O(p2 log p log log p) bit operations. |doi=10.2307/2008415}} Currently the most efficient known multiplication algorithm, Fürer's algorithm, only needs [...] time to multiply two p-bit numbers.|$|R
50|$|It is {{not known}} whether there are any odd superperfect numbers. An odd superperfect number n would have <b>to</b> be <b>a</b> <b>square</b> <b>number</b> such that either n or σ(n) is {{divisible}} by at least three distinct primes. There are no odd superperfect numbers below 7.|$|R
50|$|Other {{formulae}} {{come from}} identities which parametrise {{the sum of}} <b>squares</b> <b>to</b> give <b>a</b> power of the sum of squares such as:which {{we can think of}} as <b>a</b> way <b>to</b> <b>square</b> <b>a</b> triplet of <b>numbers</b> so that the modulus is squared. So this gives, for example:or various other permutations. This 'quadratic' formula can be applied several times to get many power-2 formulae.|$|R
25|$|The third volume {{includes}} {{the solution of}} several dynamical problems {{by means of the}} calculus of variations; some papers on the integral calculus; a solution of Fermat's problem mentioned above: given an integer n which is not <b>a</b> perfect <b>square,</b> <b>to</b> find <b>a</b> <b>number</b> x such that x2n+1 is a perfect square; and the general differential equations of motion for three bodies moving under their mutual attractions.|$|R
5000|$|There is {{in general}} no {{meaningful}} way to integrate -forms over subsets for [...] {{because there is}} no consistent way to orient -dimensional subsets; geometrically, a -dimensional subset can be turned around in place, reversing any orientation but yielding the same subset. Compare the Gram determinant of a set of [...] vectors in an -dimensional space, which, unlike the determinant of [...] vectors, is always positive, corresponding <b>to</b> <b>a</b> <b>squared</b> <b>number.</b>|$|R
25|$|In 1225, Fibonacci was {{challenged}} {{to find a}} construction for triples of square numbers that are equally spaced from each other, forming an arithmetic progression, and for the spacing between these numbers, which he called a congruum. One way of describing Fibonacci's solution is that the numbers <b>to</b> be <b>squared</b> are the difference of legs, hypotenuse, and sum of legs of a Pythagorean triangle, and that the congruum is four times {{the area of the}} same triangle. In his later work on the congruum problem, published in The Book of Squares, Fibonacci observed that it is impossible for a congruum <b>to</b> be <b>a</b> <b>square</b> <b>number</b> itself, but did not present a satisfactory proof of this fact.|$|R
50|$|Rahova is {{serviced}} by <b>a</b> <b>number</b> of public transport (RATB) lines, especially tramways (or light rail) {{and to a}} lesser extent buses. Line 32 is the main line, with tramways running every minute from Rahovei Market <b>to</b> Unirii <b>Square.</b> Currently <b>a</b> <b>number</b> of tramway lines are upgraded and/or converted to Light Rail. There is no subway (Metrou) in the area, nor are there plans to build or extend the network to the area. Because of a chaotic layout of roads and streets, and the presence of a belt of factories to the north of the neighbourhood (The Old Industrial Area of Trafic Greu, officially Progresului Road), there are basically only three roads heading downtown (Calea Rahovei, 13 Septembrie and Drumul Sării - with no secondary streets whatsoever), all with only two lanes per way of traffic and heavy public transport. This causes severe traffic jams that can last for up to five hours daily. The only solution found was to demolish two factories and make way for a new road, but the proposal was deemed too expensive and scrapped.|$|R
5000|$|Moseley's law is an {{empirical}} law concerning the characteristic x-rays that are emitted by atoms. The law was discovered {{and published by}} the English physicist Henry Moseley in 1913. It is historically important in quantitatively justifying the conception of the nuclear model of the atom, with all, or nearly all, positive charges of the atom located in the nucleus, and associated on an integer basis with atomic number. Until Moseley's work, [...] "atomic number" [...] was merely an element's place in the periodic table, and was not known {{to be associated with}} any measureable physical quantity. Moseley was able to show that the frequencies of certain characteristic X-rays emitted from chemical elements are proportional <b>to</b> the <b>square</b> of <b>a</b> <b>number</b> which was close to the element's atomic number; a finding which supported Van den Broek and Bohr's model of the atom in which the atomic number {{is the same as the}} number of positive charges in the nucleus of the atom. In brief, the law states that the square root of the frequency of the emitted x-ray is proportional to the atomic number.|$|R
