1|21|Public
50|$|Cable <b>tensioning</b> <b>tool</b> to {{hold the}} cables taut while being worked on.|$|E
50|$|A {{cable tie}} <b>tensioning</b> device or <b>tool</b> {{may be used}} to apply a cable tie with a {{specific}} degree of <b>tension.</b> The <b>tool</b> may cut off the extra tail flush with the head in order to avoid a sharp edge which might otherwise cause injury.|$|R
40|$|Diverse {{cultural}} experience provides tremendous educational value. At {{the same}} time, it presents {{the possibility for}} increased misunderstanding and conflict. While conflict can happen with students of the same background, cross-cultural dynamics tend to add complexities to <b>tension.</b> Using a <b>tool</b> such as the Intercultural Conflict Style Inventory, we have helped college student leaders build stronger teams, with a better and deeper ability to navigate, mediate and mitigate conflict among their leadership teams and peers...|$|R
40|$|WO 2004103638 A UPAB: 20050103 NOVELTY - Optical element (5) {{is held in}} a radial mount (4) with a {{reference}} surface aligned parallel or orthogonal to the optical axis (14) or to an optically active surface. DETAILED DESCRIPTION - INDEPENDENT CLAIMS are also included for the following: (1) Process {{for the production of}} reference surfaces on mounts of optical elements; and (2) Device for producing reference surfaces on mounts of an optical element Preferred Features: The mount with the optical element is held <b>tensioned</b> in a <b>tool</b> holder (13). USE - Used in optical systems. ADVANTAGE - The mount can be easily positioned and adjusted...|$|R
40|$|Abstract. Today, {{computer}} numerical simulations {{take place}} increasingly trials. The development of computers, increasing data storage capacity and computing speed, led to appearance of specialized software for virtual simulation of most plastics processing procedures. With these programs {{you can get}} answers to fundamental problems of plastic deformation: the size and stress distribution within the body, breaking predicting how the material flow, final shape of the product. Copper flow simulation is necessary for predetermination of total plastic deformation force, {{which is used to}} choose the machine deformation. Also, flow simulation aims to determine material contact tensions- deformation <b>tools,</b> necessary <b>tension</b> for sizing <b>tool,</b> in this case the active plate, punch and conterpunch...|$|R
40|$|This {{dissertation}} {{presents the}} concept of a Morphing Upper Torso, an inno-vative pressure suit design that incorporates robotic elements to enable a resizable, highly mobile and easy to don/doff spacesuit. The torso is modeled as a system of interconnected, pressure-constrained, reduced-DOF, wire-actuated parallel ma-nipulators, that enable the dimensions of the suit to be reconfigured to match the wearer. The kinematics, dynamics and control of wire-actuated manipulators are de-rived and simulated, along with the Jacobian transforms, which relate the total twist vector of the system to the vector of actuator velocities. Tools are developed that allow calculation of the workspace for both single and interconnected reduced-DOF robots of this type, using knowledge of the link lengths. The forward kinematics and statics equations are combined and solved to produce the pose of the platforms along with the link <b>tensions.</b> These <b>tools</b> allow analysis of the full Morphing Upper Torso design, in which the back hatch of a rear-entry torso is interconnected with the waist ring, helmet ring and two scye bearings. Half-scale and full-scale experimental models are used along with analytical models to examine the feasibility of this nove...|$|R
40|$|Abstract—In this work, our aim is {{to model}} {{realistic}} and real-time cutting and suture. For realistic rendering, response of deformable soft tissue during cutting and suture process should be carefully analyzed and simulated. Therefore, different behaviors of tissue resistance need to be simulated respectively in different phases of tool tissue interaction. In {{the first phase of}} cutting and suture, we model resistance of the tissue as surface <b>tension</b> before the <b>tool</b> fractures the surface. Afterwards, friction between tool and soft tissue is modeled when the tool moves in the tissue. In addition, a hybrid elastic model of a mass-spring surface with a skeleton structure is employed to speed up calculation. In our research, an abstract blood vessel is used for case study...|$|R
40|$|International audienceIn {{a growing}} number of countries, governments and public {{agencies}} seek to systematically assess the scientific outputs of their universities and research institutions. Bibliometrics indicators and peer review are regularly used for this purpose, and their advantages and biases are discussed {{in a wide range of}} literature. This article examines how three different national organisations (AERES, ERA, ERIH) produce journal ratings as an alternative assessment tool, which is particularly targeted for social sciences and humanities. After setting out the organisational context in which these journal ratings emerged, the analysis highlights the main steps of their production, the criticism they received after publication, especially from journals, and the changes made during the ensuing revision process. The particular <b>tensions</b> of a <b>tool</b> designed as both a political instrument and a scientific apparatus are also discussed...|$|R
40|$|This {{introductory}} paper {{considers the}} value and limitations of the methodology of systematic reviews especially according to the evidence-based movement. It explains some terms and organisations producing systematic reviews. It also discusses controversies. The first concerns the criteria by which the quality of individual studies is assessed, the second the possible effects of the affiliation of some reviewers, and the third the value of formalisation of procedure (i. e. the <b>tensions</b> between formal <b>tools</b> and professional judgments). The article contrasts the evidence-based formalism with other formalisms as those by the Intergovernmental Panel on Climate Change and the International Agency for Research on Cancer. It discusses systematic reviews in social science where interventions are complex, difficult to blind, and depend on context. Systematic reviews in working life research are often focusing on prevention. The formal evidence-based process may devaluate or disregard findings from mechanistic and observational studies. Hence such reviews may falsely conclude that existing knowledge {{about the risk of}} the factor is limited or nonexistent...|$|R
40|$|Cold Metal Forming {{is one of}} {{the most}} {{frequently}} used sheet metal manufacturing processes because of high material efficiency, accuracy grade and surface quality as well as short cycle times of the produced parts. In order to reach the requirements for both quality of the components and process stability, minimizing tool wear {{is one of the}} main aims in this field. One of the most influential factors on wear development is the occurring process temperature. The dissipation of more than 80 % of the plastic work as well as frictional heating lead to a severe temperature rise in the forming zone, especially during processes with high <b>tension</b> between <b>tool</b> and workpiece respectively high strain rates like embossing and blanking. Beside the influence on the mechanical properties of the materials, the temperature rise causes thermoelec-tric voltages and currents. These thermoelectric phenomena in combination with the occurring temperature reinforce the wear mechanisms Adhesion and tribochemical reaction, which determine the tool wear development because they can appear right from the beginning. State of the art is the application of lubricants in order to minimize temperature and consequently wear by reducing friction, removing heat and building reaction layers due to the additives. However, in order to improve the understanding of the interactions between the surfaces of the tool and the sheet metal precise meas-urements of the temperature as well as the occurring thermoelectric voltages are essential. This report shows the measur-ing concept and the appearing thermoelectric voltage, current and temperature during blanking S 355 M...|$|R
40|$|Friction {{plays an}} {{important}} role in sheet metal forming (SMF) and the roughness of the surface of the sheet is a major factor that influences friction. In finite element method (FEM) models of metal forming, the roughness has usually been assumed to be constant; even though it is commonly observed that sheet drawn under <b>tension</b> over a <b>tool</b> radius results in the surface becoming shiny, indicating a major change in surface morphology. An elastic–plastic FEM model for micro-contact between a flat surface and a single roughness peak has been developed. The model was used to investigate the effect of the membrane stress in the sheet on the deformation of an artificial roughness peak. From the simulation results, the change in asperity, or deformation of the local peak, for a given nominal tool contact stress is significantly influenced by the local substrate stress. The height of the asperity decreases with increasing substrate stress and the local pressure is much higher than the nominal pressure. In addition, the local contact stress decreases with an increase in the substrate stress levels. <br /...|$|R
