1|10000|Public
2500|$|... (b) <b>the</b> <b>country</b> <b>of</b> <b>consignment</b> (i.e. {{from where}} the goods were sold; or, ...|$|E
50|$|At {{the request}} of the Dominican Government, India {{approved}} a grant-in-aid scheme to supply medicines to public hospitals in <b>the</b> <b>country.</b> Several <b>consignments</b> <b>of</b> medicines have been shipped to Dominica under the scheme.|$|R
50|$|<b>The</b> <b>Country</b> <b>of</b> Clover is <b>the</b> primary setting <b>of</b> Alice in <b>the</b> <b>Country</b> <b>of</b> Clover, <b>the</b> {{sequel to}} the Alice in <b>the</b> <b>Country</b> <b>of</b> Hearts, and <b>the</b> second Wonderland {{location}} introduced. While the game retains most <b>of</b> <b>the</b> characters from <b>Country</b> <b>of</b> Hearts, <b>the</b> game removes Julius Monrey and Mary Gowland in favour of two new characters, Pierce Villiers and Gray Ringmarc. Nightmare and Joker, who also appeared in <b>the</b> <b>Country</b> <b>of</b> Hearts, have larger roles in <b>the</b> <b>Country</b> <b>of</b> Clover. In contrast to how time of day changes in <b>the</b> <b>Country</b> <b>of</b> Hearts, <b>the</b> <b>Country</b> <b>of</b> Clover is known for changing its seasons at will.|$|R
5000|$|<b>The</b> <b>Country</b> <b>of</b> <b>the</b> Blind, from H.G. Wells' <b>The</b> <b>Country</b> <b>of</b> <b>the</b> Blind.|$|R
50|$|In 1997 Sami Naïr, while {{directing}} the Interministerial Mission on Migration/Codevelopment, defined this last concept as {{a proposal for}} integrating immigration and development {{in a way that}} migration fluxes will benefit both <b>the</b> <b>country</b> <b>of</b> origin and <b>the</b> <b>country</b> <b>of</b> destination. This is, a consensual relationship between two countries that will allow migration to <b>the</b> <b>country</b> <b>of</b> destiny not to imply an equivalent loss in <b>the</b> <b>country</b> <b>of</b> origin.|$|R
40|$|<b>The</b> <b>country</b> <b>of</b> George Meredith. [...] <b>The</b> <b>country</b> <b>of</b> Stevenson. [...] Dickens-land. [...] Scott-land. [...] <b>The</b> <b>country</b> <b>of</b> George Eliot. -Thackerary-land. [...] <b>The</b> Bronte <b>country.</b> [...] Aylwin-land. [...] <b>The</b> Carlyle <b>country.</b> [...] <b>The</b> {{literary}} {{geography of}} the English lakes. [...] The literary{{geography of the}} Thames. [...] The literary geography of the Lake of Geneva. Mode of access: Internet...|$|R
25|$|Someone who changes their <b>country</b> <b>of</b> usual {{residence}} {{for a period}} of at least a year, so that <b>the</b> <b>country</b> <b>of</b> destination effectively becomes <b>the</b> <b>country</b> <b>of</b> {{usual residence}}.|$|R
40|$|Parallel imports is a {{term used}} to {{describe}} a situation where articles made and sold in one <b>country</b> (<b>the</b> <b>country</b> <b>of</b> manufacture), are imported into another <b>country</b> (<b>the</b> <b>country</b> <b>of</b> importation), without <b>the</b> consent of the owner or licensee of the intellectual property rights in <b>the</b> <b>country</b> <b>of</b> importation. … <b>The</b> issue which has arisen concerns {{the extent to which}} intellectual property rights in <b>the</b> <b>country</b> <b>of</b> importation can be used to seal off the domestic market and repel such imports. ...|$|R
50|$|If <b>the</b> <b>country</b> <b>of</b> first {{publication}} {{is not a}} Berne Convention member, or if the work is unpublished, the copyright term will vary depending on what type of work it is. Where the work is a film, and the maker {{of the film is}} headquartered in a Berne Convention country, or is domiciled or resident in a Berne Convention <b>country,</b> then <b>the</b> <b>country</b> <b>of</b> origin is that <b>country.</b> If <b>the</b> work is a work of architecture in a Berne Convention country, or an artistic work incorporated in a building in a Berne Convention <b>country,</b> then <b>the</b> <b>country</b> <b>of</b> origin is that <b>country.</b> Otherwise <b>the</b> <b>country</b> <b>of</b> origin is <b>the</b> <b>country</b> <b>of</b> which <b>the</b> author is a national.|$|R
5000|$|Former Chairman of the Delegation for {{relations}} with <b>the</b> <b>countries</b> <b>of</b> South America and the Delegation for {{relations with}} <b>the</b> <b>countries</b> <b>of</b> Central America, Mexico and Cuba ...|$|R
50|$|He has {{represented}} Turkey, <b>the</b> <b>country</b> <b>of</b> his parents, at under-18, under-20, under-21, and A2 level, and Belgium, <b>the</b> <b>country</b> <b>of</b> his birth, at under-18, under-19, and under-21 level.|$|R
