1|10000|Public
50|$|CALLER: Hi, Rush. <b>Thanks</b> <b>for</b> <b>taking</b> <b>my</b> <b>call.</b>|$|E
25|$|Please {{disregard}} {{all other}} messages which I have written, {{they are only}} thoughts which I was thinking about as possible reasons <b>for</b> <b>taking</b> <b>my</b> own life.|$|R
6000|$|... "I {{will help}} you all I can, Upton. You have done me a great service, and I {{certainly}} owe the young lady much <b>for</b> <b>taking</b> <b>my</b> child in and caring for her." ...|$|R
6000|$|... "An {{excellent}} reason, then, <b>for</b> <b>taking</b> <b>my</b> advice, and marrying me instantly! But you wander {{from the}} question. Where are you going? That {{is the issue}} now before the house. You persist in evading it." ...|$|R
6000|$|So many <b>thanks</b> <b>for</b> {{your kind}} little note {{and the book}} which I have {{received}} quite safely; and many more <b>thanks</b> <b>for</b> <b>taking</b> all the enemies' fire off me and leaving me quiet. I've been all this morning at work on finches and buntings; but I must give the Bishop a turn to-morrow. This weather takes my little wits out of me wofully; but I am always affectionately yours, ...|$|R
6000|$|BUILDER. [In a voice {{different}} from any we have heard from him] Say! What business had he to touch me, a magistrate? I gave my daughter two taps with a cane in a private house, for interfering with me <b>for</b> <b>taking</b> <b>my</b> wife home-- ...|$|R
60|$|She {{threw her}} lapful of flowers {{away from her}} {{on the table at}} which she was sitting. She became {{perfectly}} furious with him <b>for</b> <b>taking</b> <b>my</b> side. I permitted myself (the poor child could not see it, remember), the harmless indulgence of a smile.|$|R
40|$|We {{will share}} the TEACHERS' BOOK {{with the answer}} keys for all the exercises, all the transcriptions and some audio tracks, *FREE OF CHARGE* to all {{teachers}} currently using or would like to adopt the texbook, here in Language Box, {{from the end of}} August 2012. Watch this space! Many <b>thanks</b> <b>for</b> <b>taking</b> the time to read this. The authors...|$|R
60|$|I {{had just}} given a porter the {{necessary}} directions <b>for</b> <b>taking</b> <b>my</b> portmanteau to Mr. Keller's house, when I heard a woman's voice behind me asking {{the way to}} the Poste Restante--or, in our roundabout English phrase, the office of letters to be left till called for.|$|R
6000|$|... "I don't {{think we}} ever would have {{hit it off}} together; and I can't help a fancy that, after all, he didn't blame me very much <b>for</b> <b>taking</b> <b>my</b> own way in spite of him," [...] he said. [...] "Still, it is a pity Eleanor had to come back. I suppose keeping her in Toronto {{was out of the}} question?" ...|$|R
6000|$|... "Well, you'll {{have to do}} {{what you}} can to cheer up both of them." [...] Dave drew a long breath. [...] "I do wish {{somebody}} would catch those two rascals, not only on your account but on my account also. I'd like to settle matters with Porton, for having impersonated me at those stores, and <b>for</b> <b>taking</b> <b>my</b> cap and overcoat." ...|$|R
6000|$|... "One cannot do everything, and I'm not insatiable. I'm {{getting too}} old to stand the shaking in the hot and dusty cars, and I can't accustom myself to going to bed in public, without undressing. No doubt, it's a matter of prejudice, but I've been used to more room <b>for</b> <b>taking</b> <b>my</b> clothes off than they give you behind the {{flapping}} curtain." ...|$|R
50|$|In {{her native}} city {{she could not}} get to inaugurate an avenue in her honor, but she had the {{opportunity}} to witness how she was granted, in 1965, the silver medal of Jerez de la Frontera, in <b>thanks</b> <b>for</b> <b>taking</b> the name of his city to all corners of the world. The construction of a museum is being built in her memory in the Palace of Villapanés (next to her monument), which will house bibliography, multimedia and personal objects (dresses and enseres) of the artist.|$|R
