1|18|Public
5000|$|... 1985 - Who Knows The Secret of the Master <b>Tape</b> (<b>Dub</b> Me Crazy, Pt.5) ...|$|E
50|$|Strange Famous Records {{started out}} in 1996 {{as a way for}} Sage Francis to release music. Originally this {{involved}} <b>tape</b> <b>dubbing</b> and photocopying covers. In 1999, while working at the radio station WRIU (90.3 FM), he was allowed access to the station's computers and CD-Rs replaced the tapes. The albums were sold locally, raising money to press CDs at a manufacturing plant.|$|R
40|$|International Telemetering Conference Proceedings / October 10 - 12, 1972 / International Hotel, Los Angeles, CaliforniaAn {{instrumentation}} magnetic <b>tape</b> <b>dubbing</b> {{and evaluation}} station is being established at SAMTEC {{in an effort}} {{to improve the quality of}} data provided to the range users. An analysis of the problems associated with the dubbing process along with the development, configuration and operation of the station are presented...|$|R
25|$|As {{they became}} aimed at more casual users, fewer decks had {{microphone}} inputs. Dual decks became popular and incorporated into home entertainment systems {{of all sizes}} for <b>tape</b> <b>dubbing.</b> Although the quality would suffer each time a source was copied, there are no mechanical restrictions on copying from a record, radio, or another cassette source. Even as CD recorders are becoming more popular, some incorporate cassette decks for professional applications.|$|R
50|$|The museum {{does not}} sell the {{material}} or permit it {{to leave the}} premises. Viewing copies of television programs are Hi-8mm video <b>tape</b> <b>dubs.</b> The originals are kept in a vault outside of New York City, and the collection is being digitized. The Paley Center has acquired many lost episodes of classic television shows and has produced documentary features about the history and impact of television and radio. In recent years, the Center has sponsored advance viewing of the pilot episodes of each network's new programs.|$|R
2500|$|... 2004 - The Lost <b>Dub</b> <b>Tapes</b> - CD - Secret Masters (Master Tunes) ...|$|R
50|$|Pressings {{were created}} {{in the same way}} as {{ordinary}} records. A master recording was cut into a blank wax or acetate disc. This was electroplated to produce a metal stamper from which a number of identical discs were pressed in shellac or vinyl in a record press. Although the earliest transcription discs were pressed in shellac, in the mid-1930s quieter vinyl compounds were substituted. These discs were used to distribute syndicated programming to individual radio stations. Their use for this purpose persisted long after the advent of magnetic tape recording because it was cheaper to cut and plate a master disc and press 100 identical high-quality discs than to make 100 equally high-quality <b>tape</b> <b>dubs.</b>|$|R
5000|$|In the 1970s, Todd Russell began {{hosting a}} late evening program called Reminiscing {{featuring}} modern recordings of popular {{songs from the}} 1920s, 1930s, 1940s and 1950s. In 1973, Compeau decided to add some spice to the program by sprinkling in a few original period recordings. Since very few had been reissued on LP at this time, a call went out to collectors who loaned their original 78-rpm records to the radio station. The records were cleaned, repaired and brushed with distilled water before being transcribed to <b>tape.</b> <b>Dubbed</b> the [...] "new library of old 78's", these antique rarities were showcased each weeknight. (In 1974, host Todd Russell died {{and was replaced by}} Sandy Hoyt.) CHFI soon amassed a collection of over 3,500 period recordings and the reminiscing program became one of the station's biggest successes. As time went on, the modern recordings were phased out and the program featured mainly the period recordings.|$|R
5000|$|The {{band was}} formed in 1988 and {{were one of the}} first {{official}} punk bands in the country. Their first recordings, [...] "Tryabva vsichko da priemam" [...] and [...] "Nai-vazhnoto", were for the 1988 film [...] "Pred praga" [...] (At the Doorstep). Later that year, they released a demo <b>tape</b> called Stariyat <b>dub.</b> The <b>tape</b> contained 8 songs.|$|R
5000|$|In {{the late}} 1980s, an English dubbed version, {{produced}} by Magnum Video <b>Tape</b> and <b>Dubbing</b> for international Japan Airlines flights {{at the request}} of Tokuma Shoten, was briefly screened in the United States by Streamline Pictures. Carl Macek, the head of Streamline, was disappointed with this dub, deeming it [...] "adequate, but clumsy". Following this, Tokuma allowed Streamline to dub their future acquisitions My Neighbor Totoro and Kiki's Delivery Service. The Streamline dub of Castle in the Sky was released only on the first Japanese DVD release along with the Streamline dub of My Neighbor Totoro and The Castle of Cagliostro. The initial Japanese DVD release is now out of print and the subsequent rerelease contains the Disney dub instead.|$|R
25|$|In 2001 Pieter Bourke {{established}} a dub reggae duo, Secret Masters, {{in collaboration with}} club DJ, Brian Westbrook (a.k.a. Donnie Dub). Back in 1993 Bourke had met Westbrook, who provided cello on Eden's Healingbow. In 2004 Secret Masters' debut album, The Lost <b>Dub</b> <b>Tapes,</b> was released on their self-funded label, Master Tunes. For the 2009 follow up album, Words, Power, Sound, Westbrook travelled to Jamaica to record with local vocalists. The album includes two tracks featuring British reggae singer and DJ Tippa Irie.|$|R
