1|3206|Public
5000|$|The <b>turn</b> <b>signal</b> <b>switch</b> change {{required}} {{a number of}} other changes - ...|$|E
50|$|Introduced in 1978, the ER was {{produced}} through the 1980s with relatively few detail changes. In 1984, the headlights and front <b>turn</b> <b>signals</b> were <b>switched</b> from round to rectangular units. In 1991, the driver's compartment was redesigned, {{with a much}} larger windshield. During the late 1990s, this model was distinguished from MVP-series ERs by its optional black plastic headlight trim.|$|R
5000|$|In May 1978 the Alfasud Sprint {{underwent}} {{its first}} updates, both cosmetic and technical. Engine choice was enlarged to two boxers, {{shared with the}} renewed Alfasud ti, a [...] 1.3 (1,350 cc) and a [...] 1.5 (1,490 cc); the earlier 1286 cc units was not offered anymore, remaining exclusive to the Alfasud. Outside many exterior details were changed from chrome to matte black stainless steel or plastic, such as the wing mirrors, window surrounds and C-pillar ornaments; the B-pillar also received a black finish, the side repeaters changed position and became square, and the front <b>turn</b> <b>signals</b> <b>switched</b> from white to amber lenses. In the cabin the seats had more pronounced bolsters and were upholstered in a new camel-coloured fabric.Just one year later, in June 1979, another engine update arrived and the Alfasud Sprint became the Alfasud Sprint Veloce.Thanks to double twin-choke carburetors (each choke feeding a single cylinder) and a higher compression ratio engine output increased to [...] and , respectively for the 1.3 and 1.5.|$|R
50|$|The SL-250 has a 250 watt DC motor {{that can}} propel {{it up to}} 14 mph. It stands 40 inches tall, 40 inches long, and 12 inches wide. It holds two 24/7ah (UL, CE) {{batteries}} in series. The batteries last 10-15.5 miles on a 5-hour charge. It rides on Rubber Pneumatic tires (8"). It features a head light, <b>turn</b> <b>signals,</b> horn, key <b>switch,</b> volt meter, variable speed throttle, folding handle bars. It costs around $550.00-$650.00.|$|R
50|$|Nonblocking minimal {{spanning}} <b>switch</b> and <b>signal</b> <b>switching.</b>|$|R
5000|$|<b>Turn</b> <b>Signal</b> Indicators.Not all {{motorcycles}} have <b>turn</b> <b>signal</b> indicators, or [...] "blinkers." [...] Off road cycles do not. Prior to the 1970s, most motorcycles, even roadsters, {{were not}} fitted with <b>turn</b> <b>signal</b> indicators. All road bikes are now factory fitted with <b>turn</b> <b>signals</b> indicators.|$|R
5000|$|... transition-delay faults, which {{simulate}} slow <b>signal</b> <b>switching</b> on a node ...|$|R
40|$|This {{experiment}} {{was designed to}} compare reaction times to brake signals when they appear with red or yellow <b>turn</b> <b>signals.</b> The laboratory study simulated a daytime driving condition. The subject's task was to respond {{as quickly as possible}} to the onset of peripherally presented brake lamps (but not to <b>turn</b> <b>signals),</b> while engaged in a central tracking task. There were three lamp conditions: brake lamps alone, brake lamps while <b>turn</b> <b>signal</b> was on, and a turn-signal lamp alone. Thus, the subject's task required an immediate response in the first condition, a delayed response in the second (only after the brake lamps came on, not to the <b>turn</b> <b>signal),</b> and no response in the third condition. <b>Turn</b> <b>signals</b> were presented at two levels of luminous intensity. The results showed that reaction times to brake signals were significantly shorter when the brake signals were presented in the context of yellow <b>turn</b> <b>signals</b> than when they were presented in the context of red <b>turn</b> <b>signals.</b> Averaged over both levels of luminous intensity and conditions with and without <b>turn</b> <b>signals,</b> the difference between yellow and red was 110 ms. The colors of <b>turn</b> <b>signals</b> had an effect whether or not the <b>turn</b> <b>signal</b> was on, but the effect was greater when it was. Older subjects were affected more by the color of <b>turn</b> <b>signals</b> than were younger subjects. In conclusion, yellow <b>turn</b> <b>signals</b> are beneficial in situations simulated in this experiment. However, the present findings are directly applicable only to a situation where all vehicles have yellow <b>turn</b> <b>signals</b> and tail lamps are not energized...|$|R
5000|$|... #Caption: Multi-AV (2-channel audio, S-Video and CVBS) SCART {{adaptors}} with input/output <b>signal</b> <b>switch</b> ...|$|R
40|$|For {{crosstalk}} noise calculation, computing switching windows of a net helps us identify noise sources accurately. Traditional approaches use a single continuous switching window for a net. Under this model, <b>signal</b> <b>switching</b> {{is assumed to}} happen any time within the window. Although conservative and sound, this model can result in too much pessimism since in reality the exact timing of <b>signal</b> <b>switching</b> is determined by a path delay up to the net, i. e. the underlying circuit structure does not always allow <b>signal</b> <b>switching</b> at arbitrary time within the continuous switching window. To address this inherent inaccuracy of the continuous switching window, we propose a refinement of the traditional approaches, where <b>signal</b> <b>switching</b> {{is characterized by a}} set of discontinuous switching windows instead of a single continuous window. Each continuous switching window is divided into multiple windows, called time slots, and the <b>signal</b> <b>switching</b> activity of each slot is analyzed separately to calculate the maximum noise with more accuracy. By controlling the size of a time slot we can trade off accuracy and runtime, which makes this approach highly scalable. We have confirmed by experiments on industrial circuits that up to 90 % of the noise violations detected by the traditional approach can be unreal. 1...|$|R
5000|$|Be {{alert to}} wayside <b>signals,</b> <b>switch</b> position, and other {{conditions}} that affect safe train movement ...|$|R
