1|22|Public
40|$|Abstract. Let T be an n×n matrix. The {{numerical}} range of T {{is defined as}} the set W(T) = {ξ ∗ Tξ: ξ ∈ C n,ξ ∗ ξ = 1 }. A homogeneous <b>ternary</b> <b>polynomial</b> associated with T is defined as F(t,x,y) = det(tIn +x(T +T ∗) / 2 +y(T −T ∗) /(2 i)). The {{numerical range}} W(T) is the convex hull ofthe real affine partof the dual curve of F(t,x,y,) = 0. We classify the numerical ranges of 4 × 4 matrices according to the singular points of the curve F(t,x,y) = 0. Key words. Numerical range, Homogeneous <b>ternary</b> <b>polynomial,</b> Singular point. AMS subject classifications. 15 A 60, 14 H 45. 1. Introduction. The numerical range W(T) of an n×n complex matrix T was introduced by Toeplitz and defined as the set W(T) = {ξ ∗ Tξ: ξ ∈ C n,ξ ∗ ξ = 1 }. Kippenhahn[11](seealso[20]foranEnglishtranslation) characterizedthisrangefrom a viewpoint of the algebraic curve of the homogeneous <b>ternary</b> <b>polynomial</b> associate...|$|E
40|$|In {{this paper}} we first {{introduce}} {{the concept of}} the <b>ternary</b> Hermite <b>polynomials</b> and then prove that if an analytic function in several variables which satisfies a set of partial differential equations of second order, then, it can be expanded in terms of the product of the <b>ternary</b> Hermite <b>polynomials.</b> This expansion theorem allows us to develop a systematic method of proving the identities for the <b>ternary</b> Hermite <b>polynomials...</b>|$|R
40|$|A {{cyclotomic}} polynomial Phi_n(x) {{is said to}} be ternary if n=pqr with p,q and r distinct odd prime factors. <b>Ternary</b> cyclotomic <b>polynomials</b> are {{the simplest}} ones for which the behaviour of the coefficients is not completely understood. Eli Leher showed in 2007 that neighboring ternary cyclotomic coefficients differ by at most four. We show that, in fact, they differ by at most one. Consequently, the set of coefficients occurring in a <b>ternary</b> cyclotomic <b>polynomial</b> consists of consecutive integers. As an application we reprove in a simpler way a result of Bachman from 2004 on <b>ternary</b> cyclotomic <b>polynomials</b> with an optimally large set of coefficients. Comment: 11 pages, 2 table...|$|R
40|$|It {{is known}} that two {{consecutive}} coefficients of a <b>ternary</b> cyclotomic <b>polynomial</b> Φ_pqr(x) =∑_k a_pqr(k) x^k differ by at most one. In this paper we give a criterion on k to satisfy |a_pqr(k) -a_pqr(k- 1) |= 1. We use this {{to prove that the}} number of nonzero coefficients of the nth <b>ternary</b> cyclotomic <b>polynomial</b> is greater than n^ 1 / 3. Comment: 10 page...|$|R
40|$|AbstractFor {{a pair of}} n×n Hermitian {{matrices}} H and K, a real <b>ternary</b> homogeneous <b>polynomial</b> {{defined by}} F(t,x,y) =det(tIn+xH+yK) is hyperbolic with respect to (1, 0, 0). The Fiedler conjecture (or Lax conjecture) is recently affirmed, namely, for any real <b>ternary</b> hyperbolic <b>polynomial</b> F(t,x,y), there exist real symmetric matrices S 1 and S 2 such that F(t,x,y) =det(tIn+xS 1 +yS 2). In this paper, we give a constructive proof {{of the existence of}} symmetric matrices for the ternary forms associated with trigonometric polynomials...|$|R
40|$|A <b>ternary</b> inclusion-exclusion <b>{{polynomial}}</b> is a polynomial of {{the form}} Q_p,q,r=(z^pqr- 1) (z^p- 1) (z^q- 1) (z^r- 1) /(z^pq- 1) (z^qr- 1) (z^rp- 1) (z- 1), where p, q, and r are integers > 3 and relatively prime in pairs. This class of polynomials contains, as its principle subclass, the <b>ternary</b> cyclotomic <b>polynomials</b> corresponding to restricting p, q, and r to be distinct odd prime numbers. Our object here is to continue {{the investigation of the}} relationship between the coefficients of Q_p,q,r and Q_p,q,s, with r≡ spq. More specifically, we consider the case where 1 1 and r≡± spq, then A(p,q,r) < s. Comment: 12 page...|$|R
40|$|Let l>= 1 be an {{arbitrary}} odd integer and p,q and r primes. We {{show that there}} exist infinitely many <b>ternary</b> cyclotomic <b>polynomials</b> Φ_pqr(x) with l^ 2 + 3 l+ 5 <= p<q<r such that the set of coefficients of each of them consists of the p integers in the interval [-(p-l- 2) / 2,(p+l+ 2) / 2]. It is known that no larger coefficient range is possible. The Beiter conjecture states that the cyclotomic coefficients a_pqr(k) of Φ_pqr satisfy |a_pqr(k) |<= (p+ 1) / 2 and thus the above family contradicts the Beiter conjecture. The two already known families of <b>ternary</b> cyclotomic <b>polynomials</b> with an optimally large set of coefficients (found by G. Bachman) satisfy the Beiter conjecture. Comment: 20 pages, 7 Table...|$|R
40|$|An {{integral}} {{quadratic polynomial}} (with positive definite quadratic part) is called almost universal if it represents all but finitely many positive integers. In this paper, we introduce the conductor of a quadratic polynomial, and give an effective characterization of almost universal <b>ternary</b> quadratic <b>polynomials</b> with odd prime power conductor...|$|R
40|$|New {{classes of}} Linearly Independent Ternary Arithmetic (LITA) {{transforms}} being {{the bases of}} <b>ternary</b> arithmetic <b>polynomial</b> expansions are introduced here. Recursive equations defining the LITA transforms and the corresponding butterfly diagrams are shown. Various properties and relations between introduced classes of new transforms are discussed. Computational costs to calculate LITA transforms and applications of corresponding polynomial expansions in logic design are also discussed...|$|R
40|$|Bit-slicing is a non-conventional {{implementation}} {{technique for}} cryptographic software where an n-bit processor is {{considered as a}} collection of n 1 -bit execution units operating in SIMD mode. Particularly when implementing symmetric ciphers, the bit-slicing approach has several advantages over more conventional alternatives: it often allows one to reduce memory footprint by eliminating large look-up tables, and it permits more predictable performance characteristics that can foil time based side-channel attacks. Both features are attractive for mobile and embedded processors, but the performance overhead that results from bit-sliced implementation often represents a significant disadvantage. In this paper we describe a set of light-weight Instruction Set Extensions (ISEs) that can improve said performance while retaining all advantages of bit-sliced implementation. Contrary to other crypto-ISE, our design is generic and allows for a high degree of algorithm agility: we demonstrate applicability to several well-known cryptographic primitives including four block ciphers (DES, Serpent, AES, and PRESENT), a hash function (SHA- 1), as well as multiplication of <b>ternary</b> <b>polynomials...</b>|$|R
40|$|A {{series of}} recent {{algorithmic}} advances has delivered highly effective methods for pairing evaluation and parameter generation. However, the resulting multitude of options means many different variations of base field must ideally be {{supported on the}} target platform. Typical hardware accelerators {{in the form of}} co-processors possess neither the flexibility nor the scalability to support fields of different characteristic and order. On the other hand, extending the instruction set of a general-purpose processor by custom instructions for field arithmetic allows to combine the performance of hardware with the flexibility of software. To this end, we investigate the integration of a tri-field multiply-accumulate (MAC) unit into a SPARC V 8 processor core to support arithmetic in Fp, F 2 n and F 3 n. Besides integer multiplication, the MAC unit can also execute dedicated multiply and MAC instructions for binary and <b>ternary</b> <b>polynomials.</b> Our results show that the tri-field MAC unit adds only a small size overhead while significantly accelerating arithmetic in F 2 n and F 3 n, which sheds new light on the relative performance of Fp, F 2 n and F 3 n in the context of pairing-based cryptography...|$|R
