1|10000|Public
5000|$|The SAR's <b>tender</b> <b>for</b> <b>bid</b> {{was issued}} in 1957, with two options: ...|$|E
50|$|In some cases, no {{materials}} can be submitted after the deadline. This may occur with calls <b>for</b> proposal, commercial <b>tenders</b> <b>for</b> <b>bids,</b> and application dates for universities and professional schools. For tests and examinations in schools, universities and job competitions, once the time limit {{for the test}} is up, the test-takers must put down their pens or pencils and hand in their test.|$|R
50|$|PSC - Naval Dockyard Sdn Bhd {{was made}} the major {{contractor}} {{for the building}} and delivery of the New Generation Patrol Vessels (NGPV) programme for the Royal Malaysian Navy. An international <b>tender</b> <b>for</b> <b>bids</b> was announced, with Germany, the United States, Australia and United Kingdom amongst others submitting their bids. PSC-ND was set to joint venture with the winner to complete the program.|$|R
50|$|PSC-Naval Dockyard, {{the company}} now absorbed by Boustead Heavy Industries Corporation Berhad, was made the major {{contractor}} for the building and delivery of the New Generation Patrol Vessels (NGPV) programme for the Royal Malaysian Navy. An international <b>tender</b> <b>for</b> <b>bids</b> was announced, with Germany, Denmark, the Netherlands, the United States, Australia, United Kingdom and Italy amongst others submitting their bids. PSC-ND was set to joint venture with the winner to complete the program.|$|R
50|$|By February 2012 the National Roads Authority {{published}} requests <b>for</b> <b>tender</b> (invitation <b>for</b> <b>bids)</b> <b>for</b> the Sha'ar HaGai-Shoresh {{section and}} the HarEl Tunnel {{to be implemented}} as design-build projects. By January 2014 extensive infrastructure works were taking place along the entire project's route.|$|R
5000|$|Mackenzie Vaughan Hospital {{is under}} {{construction}} along Major Mackenzie Drive (between Highway 400 and Jane Street) which would serve Vaughan. Its planning stage began in 2007. The provincial government of Ontario approved construction of the hospital in July 2011, and a <b>tender</b> <b>for</b> <b>bids</b> to construct it will be issued in 2014 or 2015. Land preparation for construction began {{in the summer of}} 2014. The expected date of completion is 2019. It will be part of a regional hospital system with a [...] "single governance, administration and medical staff" [...] managed by Mackenzie Richmond Hill Hospital.|$|R
25|$|In September 2012, Singapore welcomed its newest {{radio station}} in over 20 years, KISS 92 FM, raising the number of radio {{stations}} from 18 to 19 on the island. Following a <b>tender</b> <b>for</b> <b>bids</b> on two open dial positions, the media company SPH UnionWorks Pte Ltd was successful in procuring the one opening that was ultimately allotted at 92.0MHz with a proposal to have the station target mainly women listeners, but {{also included in the}} anticipated target audience – families. It provides in-depth women and family content, coupled with adult contemporary music. Women aged 30 and above, and families will find the channel informative and entertaining.|$|R
5000|$|August 1, 2008, West Qinling Tunnel as {{the first}} part of the project is opened <b>for</b> <b>tender</b> and <b>bidding</b> started, marking the start of Lanzhou-Chongqing railway construction.|$|R
50|$|Currently, the {{thresholds}} {{require that}} all {{institutions in the}} MASH sector (Municipal/Academic/Social Services/Healthcare) <b>tender</b> <b>for</b> public <b>bidding</b> contracts worth $100,000 or more, {{or in the case}} of construction, $250,000 or more. The agreement mandates the “equal” treatment of people, goods and services anywhere in Canada. That means businesses in any province or territory are to be considered <b>for</b> procurement <b>bids,</b> eliminating “buy local” policies. There are some exceptions in the deal. Provinces or municipalities can still designate sole-source suppliers in particular circumstances. Its ultimate goal is to eliminate barriers to trade, investments and product mobility.|$|R
5000|$|The first firm hired on 1998 {{to purge}} the voter rolls was Professional Service Inc., which charged $5,700 for the job. Later {{in the same}} year, the state placed an open request <b>for</b> <b>tenders</b> to <b>bid</b> <b>for</b> the job. The {{contract}} was assigned to DBT Online, {{despite the fact that}} its bid was the highest-priced. The state gave the job to DBT for a first-year fee of US $2,317,800 with total fees eventually reaching US $4 million [...] The Florida Department of Elections terminated Professional Service Inc.'s contract in 1999. DBT Online was acquired by ChoicePoint in early 2000.|$|R
40|$|A {{specific}} multicriteria socio-technical {{approach to}} facilitating bid evaluation processes is presented and several issues that warrant its use are discussed. Some real-world interventions in international public call <b>for</b> <b>tenders</b> illustrate practical aspects of structuring criteria {{and creating a}} computer-based additive value model in direct interaction with Evaluation Committees responsible <b>for</b> <b>bid</b> evaluation, supported by the approach. Public call <b>for</b> <b>tenders</b> Multicriteria <b>bid</b> evaluation Real-world cases...|$|R
