1|15|Public
25|$|As a main {{reactive}} {{agent in}} electrochemical <b>weld</b> <b>cleaning.</b>|$|E
40|$|The {{purpose of}} this work {{is to create a}} {{proposal}} {{for the development of the}} small company named GARANT TRADING s. r. o., which sells <b>welding,</b> <b>cleaning</b> and gardening techniques and organize professional welding courses. The work is divided into the business plan for an existing company, especially for the development of welding schools in the legal form of a business limited company, and is based on their precedence, weaknesses and needs. The analysis was based on data sourced from financial statements and discussions with management. A currently considered opportunity is a purchase or rent of a welding hall in Olomouc. Detailed description of the process and proposal of a successful realization of this project is presented in this work...|$|R
50|$|A horn {{analyzer}} is {{an instrument}} {{used to determine}} the resonance and anti-resonance frequencies of ultrasonic parts such as transducers, sonotrodes and acoustic sets, which are used in ultrasonic <b>welding,</b> cutting, <b>cleaning</b> and other industrial applications. In addition, digital horn analyzers are able to determine the electrical impedance of piezoelectric materials.|$|R
40|$|With today‘s {{environmental}} awareness {{and the pressure}} of the sustainability requirements, existing manufacturing techniques of heating devices are evolving into the redesign man-ufacturing unit processes to increase overall sustainability. Also, these techniques need a measurement method to assess processes-related sustainability performance indicators. The {{purpose of this paper is}} to stress the role of manufacturing techniques: <b>welding,</b> <b>cleaning</b> and painting in the manufacture of heating appliances (solid fuel fired boilers used renewable energy sources) in terms of incorporating into the field the concept of sustainable develop-ment. It then focuses on the environmental, technical, economical and social impact of sustainable technologies and argues for the need to ensure that the concept is being applied to the manufacture of heating devices. In this paper, author tries to propose a unified, standard scientific factory-level methodolo-gy to evaluate the influence of manufacturing techniques on the sustainability of enterprises producing heating devices. The proposed methodology in the terms of the case study is a comprehensive answer to the question of to what extent the improvements in those tech-niques influence the sustainable development of the enterprises. An industrial case stud...|$|R
50|$|General Electric Everett Plant, {{formerly}} known as Air Force Plant 28, was a plant operated by General Electric from 1941 into the 1980s in Everett, Massachusetts. It was situated along the Malden River on a forty-three acre tract, covering 344,342 square feet. The facility, before it was demolished, was the location of ten smaller buildings and one large manufacturing facility. At the time, it was also home to machining, metal stamping, <b>welding,</b> grinding, <b>cleaning</b> and parts testing. Previously, the plant also was home to metal plating. The plant was closed after General Electric decided to consolidate manufacturing at other plants across the country, including to that in nearby Lynn, where parts from Everett were assembled into engines.|$|R
40|$|In {{the article}} the {{questions}} of the newest development of welding aerosols localization and neutralization at surfacing have been considered in obedience {{to the requirements of}} the Kyoto protocol. New technology of <b>welding</b> aerosols (WA) <b>cleaning,</b> which meets the requirements of the Kyoto protocol as to harmful matters emissions has been worked out. It provides for a closed system of ventilation with triple filtration, at which harmful matters do not get out in the atmosphere, but are neutralized. The sanitary state of the workplace of the welder improves considerably. Practical solution of the questions has been offered. The presented technology has been tested in various industries. A new concept of <b>welding</b> aerosol (WA) <b>cleaning</b> has been worked out, making it possible to use a limited amount of air due to its frequent pumping through the closed system of ventilation which is in line with the provisions of the Kyoto protocol. The closed process of sucking off gases, aerosols and harmful substances, their filtration, localization and neutralization has been applied as well as the clean air supply without any emissions into atmosphere. Powerful vent devices are not needed, because the volume of air is insignificant. The sanitary state of workplace of the welder improves considerabl...|$|R
40|$|Ecological management, {{taking into}} account the {{provisions}} of the Kyoto protocol as to harmful matters emissions was used at strengthening surfacing of machine parts. Theoretical substantiation for control over the quality of the air basin using the ecological management as the base was proposed. The investigations performed make it possible to systematize and formalize all the variables, involved in control over the quality of the air basin. New technology of <b>welding</b> aerosols <b>cleaning</b> has been worked out. This technology being a practical solution of the problem provides for a closed system of ventilation and filtration, at which harmful matters do not get out in the atmosphere, but are neutralized. The analysis showed inefficient organization and management of environmental protection and absence of economic influence upon the problems of environmental protection. The problems of risks at employing natural resources have first been examined. The paper offers solutions to the problems overcoming of which is extremely important in view of the provisions of the Kyoto protocol and international requirement...|$|R
40|$|The {{first four}} {{insertion}} device (ID) vacuum chambers (3 for the undulators, 1 for the wiggler) have been {{installed in the}} ELETTRA synchrotron radiation facility. Each chamber is 4. 8 m in length and has a rectangular cross section with a cylindrical antechamber. The whole system is pumped by four 120 l/s sputter-ion pumps of nominal pumping speed. The insertion device chambers are fabricated from stainless steel ESR AISI 316 LN. This material was chosen for its very low relative magnetic permeability (~ 1. 003), its high yield stress and the well known procedures for <b>welding</b> and <b>cleaning.</b> Vacuum and mass spectroscopy experience {{during the first year}} of commissioning is presented. 1. INTRODUCTION Elettra synchrotron radiation facility has been built expecially for the use of high brilliance radiation from insertion devices ID. The storage ring of 260 m in circumference is equipped by 12 straight sections, one is for beam injection, 11 are for IDs beam lines. An austenitic stainless ste [...] ...|$|R
40|$|Business X {{produces}} the complete structural materials for {{many different types}} of steel buildings in a variety of applications. In the past, they have produced office buildings, warehouses, storage facilities, churches and more. Business Z does a great deal of contract metalworking. Mainly, companies outside the Business contract with Business Z to make certain parts of machines or other metal components. Business Z does <b>welding,</b> cutting, <b>cleaning,</b> and painting all in their facility before products are shipped out. each facility, serviced by Safety Kleen. The solvents used in these parts washers, along with the materials being washed off the parts, are hazardous wastes and must be disposed of by authorized handlers. Safety Kleen, the current handler, is an expensive service that changes out old solvents and replaces with new solvents. The solvents used in these parts washers are usually flammable and therefore hazardous waste before anything is even washed. In addition to parts washers, proper disposal of aerosol cans was examined. Business X uses approximately 600 spray cans each year. One use for these spra...|$|R
40|$|The AFNOR 15 CDV 6 {{steel is}} high {{strength}} steel with relatively low level alloy content. By processing the steel through ESR with inoculation a marginal increase in strength and further increase in ductility and notch toughness can be obtained. The strength of the steel is inadequate for its use in fabrication of rocket motor casing in the Indian Space Programme. By increasing both carbon and chromium content of the AFNOR 15 CDV 6 steel strength can be increased, primarily as a cost effective for space launch vehicle applications. Welding is a major step in the fabrication {{of most of the}} pressure vessels, structures and equipments. Steels with carbon equivalent in excess of 0. 40 wt % shows a tendency to form martensite on welding, and therefore are considered difficult to weld. This ESR modified 15 CDV 6 material has a carbon equivalent value of nearly 1. 0 that classified it as a very difficult to weld steel. In the present work, ESR modified 15 CDV 6 material welding was carried out successfully by Auto GTAW as well as Manual GTAW, without preheating. This was carried out by modification of <b>welding</b> parameters, <b>cleaning</b> process, tacking sequence etc. Mechanical Properties of the Weld are meeting requirements...|$|R
40|$|Folded horns {{have been}} {{conceived}} as alternatives to straight horns used as resonators and strain amplifiers in power ultrasonic systems. Such systems {{are used for}} <b>cleaning,</b> <b>welding,</b> soldering, cutting, and drilling {{in a variety of}} industries. In addition, several previous NASA Tech Briefs articles have described instrumented drilling, coring, and burrowing machines that utilize combinations of sonic and ultrasonic vibrational actuation. The main advantage of a folded horn, relative to a straight horn of the same resonance frequency, is that the folded horn can be made shorter (that is, its greatest linear dimension measured from the outside can be made smaller). Alternatively, for a given length, the resonance frequency can be reduced. Hence, the folded-horn concept affords an additional degree of design freedom for reducing the length of an ultrasonic power system that includes a horn...|$|R
40|$|Abstract — Glass lined {{reactor vessel}} for mixing and storage {{has a unique}} {{advantage}} of higher corrosion resistance, retention of product flavour and purity, improved heat transfer and less frequent <b>cleaning.</b> <b>Welding</b> close to the glass-lined surface is at times the unavoidable need. However, such needs are to be dealt critically as {{the rise in the}} temperature of the glass-lined surface can lead to a failure of glass-lining. This failure results in considerable delay as rework in lining the glass takes 5 - 7 days and it involves considerable extra cost of reworking. The glass lined reactor vessels are provided with jacket for thermal insulation. The jacket is welded to main vessel by a closure ring. CO 2 welding in the root run and Sub-merged Arc Welding (SAW) process for subsequent passes. The cooling time of 15 to 20 minutes is provided between the successive SAW passes so that the shell surface cools down and temperature does not exceed the failure limit of glass-lining. The temperature measurements were initially measured with infrared pyrometer and Results are compared with thermal analysis by FEA. We see in the final pass of SAW process the temperature exceeds 100 ˚C though the cooling time of 15 - 20 minutes is provided between the successive passes and temperature does not exceeds the failure limit of 150 ˚C as well as the 3 - 4 ˚C/min temperature difference in heating and cooling rates...|$|R
