3954|10000|Public
5|$|Mugabe <b>was</b> <b>opposed</b> <b>to</b> {{the idea}} of a ceasefire, but under {{pressure}} from Machel he agreed to it. Mugabe signed the agreement, although felt cheated, remaining disappointed that he had never achieved a military victory over the Rhodesian forces.|$|E
5|$|A two-part, feature-length {{version of}} Hogfather {{starring}} David Jason {{and the voice}} of Ian Richardson was first aired on Sky One in the United Kingdom in December 2006, and on ION Television in the US in 2007. Pratchett <b>was</b> <b>opposed</b> <b>to</b> live action films about Discworld before because of his negative experience with Hollywood film makers. He changed his opinion when he saw that the director Vadim Jean and producer Rod Brown were very enthusiastic and cooperative.|$|E
5|$|After Murdac's {{death in}} 1153, Osbert <b>was</b> <b>opposed</b> <b>to</b> William's return as archbishop, but was {{unsuccessful}} in {{his attempts to}} prevent William's reappointment. William died a week after his return to York, however, and Osbert, along with Robert of Ghent, the Dean of York, secured the quick election of the new archbishop, Roger de Pont L'Évêque.|$|E
5000|$|Immigration: Tran <b>is</b> <b>opposed</b> <b>to</b> criminalization {{of illegal}} {{immigrants}} and <b>is</b> <b>opposed</b> <b>to</b> guest-worker programs.|$|R
25|$|Bhushan <b>is</b> <b>opposed</b> <b>to</b> the Indo-US {{civilian}} nuclear agreement. He <b>is</b> <b>opposed</b> <b>to</b> nuclear energy, {{and supported}} the People's Movement Against Nuclear Energy against establishment of the Kudankulam Nuclear Power Plant.|$|R
50|$|Souza <b>is</b> <b>opposed</b> <b>to</b> the Patient Protection and Affordable Care Act (Obamacare) and <b>is</b> also <b>opposed</b> <b>to</b> {{expanding}} Medicaid.|$|R
5|$|As of 2016, Australia has no {{nuclear power}} {{stations}} {{and the former}} Gillard Labor government <b>was</b> <b>opposed</b> <b>to</b> nuclear power for Australia. Australia has three operating uranium mines at Olympic Dam (Roxby) and Beverley – both in South Australia's north – and at Ranger in the Northern Territory. Australia has no nuclear weapons. Australia operates a research reactor which produces medical radioisotopes at OPAL.|$|E
5|$|As work on Nike-X began, {{high-ranking}} {{military and}} civilian officials began to press for Zeus deployment as an interim system {{in spite of the}} known problems. They argued the system could be upgraded in-place as the new technologies became available. McNamara <b>was</b> <b>opposed</b> <b>to</b> early deployment, while Congressman Daniel J. Flood would be a prime force for immediate deployment.|$|E
5|$|Beach Thomas <b>was</b> <b>opposed</b> <b>to</b> {{the use of}} the toothed steel trap for {{catching}} rabbits, supporting the RSPCA in its efforts to outlaw the device and noting that it both inflicted unnecessary pain and was indiscriminate in nature, sometimes trapping other animals such as domesticated cattle and pet dogs.|$|E
25|$|In July 2010, the {{majority}} of Americans <b>were</b> <b>opposed</b> <b>to</b> the Islamic center. By a margin of 54–20%, American adults <b>were</b> <b>opposed</b> <b>to</b> a mosque being built near Ground Zero, a national Rasmussen Reports poll found that month.|$|R
50|$|Sherwood <b>is</b> <b>opposed</b> <b>to</b> Brexit.|$|R
5000|$|... "Chiropractors <b>are</b> <b>opposed</b> <b>to</b> {{poisoning}} any person, be they sick or well, {{therefore we}} <b>are</b> <b>opposed</b> <b>to</b> vaccine virus, {{and the use}} of drugs as a curative measure, for they do not fix the wrong that causes the trouble." [...] -- B.J. Palmer ...|$|R
