1|7717|Public
5000|$|A06 {{crash on}} {{protection}} system such as <b>safety</b> <b>traffic</b> <b>barrier</b> ...|$|E
50|$|In 37 school {{zones in}} Songpa, CCTV cameras (90 inside and 17 outside of schools) are {{installed}} to prevent accidents and crimes. Songpa District also makes {{every effort to}} ensure safe routes to schools by paving access roads to schools with vivid colors, paving non-skid treads, building speed bumps, <b>safety</b> <b>barriers,</b> <b>traffic</b> signals and <b>traffic</b> <b>safety</b> signs, and painting traffic lanes.|$|R
50|$|Originally {{conceived}} in the 1930s, planning {{work on the}} bridge began in earnest in 1950, and construction began in 1954. Four workers were killed in construction accidents on the bridge. The Norris Bridge is 9,985 feet long, and provides a Mean High Water clearance of 110 feet under the center span. Prior to {{the placement of the}} current <b>traffic</b> <b>safety</b> <b>barrier,</b> in its 50+ years there are two known fatal accidents involving cars flipping off the bridge into the water below.|$|R
5000|$|... #Caption: <b>Traffic</b> <b>barrier</b> with a {{pedestrian}} guardrail behind it ...|$|R
40|$|The Institution of Engineers Australia 2005 In this paper, the {{non-linear}} {{finite element}} code LS-DYNA {{is used to}} evaluate the performance of an existing <b>traffic</b> <b>barrier</b> system in Western Australia in collisions with vehicles. The vehicle types, speeds and impact angles to the barrier specified in the revised Bridge Code AS 5100. 2 are adopted in the analysis. Numerical models of three kinds of vehicles, a small passenger car, a utility vehicle and a single-unit truck, as specified in the revised Bridge Code, are used for the analysis. The numerical model of the guardrail is set up according to the actual design of the <b>traffic</b> <b>barrier.</b> Before the analysis of barrier response to the vehicle impact can be carried out, convergence tests on the numerical model of the <b>traffic</b> <b>barrier</b> were conducted, resulting in the selection of the final grid element sizes and the number of spans in the numerical model. Numerical simulations of the performance of the <b>traffic</b> <b>barriers</b> in collisions with vehicles with different speeds, different impact angles, and colliding with the barrier at different locations are carried out. The adequacy of the steel RHS <b>traffic</b> <b>barrier</b> to meet the required performance levels is examined. Numerical results indicate that the existing two-rail steel RHS <b>traffic</b> <b>barriers</b> in Western Australia meet the requirements of the low performance level tests, but fail to satisfy the regular and higher performance levels...|$|R
5000|$|Target hardening, such as locking doors or adding <b>traffic</b> <b>barriers</b> ...|$|R
50|$|To {{make sure}} they are safe and effective, <b>traffic</b> <b>barriers</b> undergo {{extensive}} simulated and full scale crash testing before they are approved for general use. While crash testing cannot replicate every potential manner of impact, testing programs are designed to determine the performance limits of <b>traffic</b> <b>barriers</b> and provide an adequate level of protection to road users.|$|R
40|$|Abstract: With the {{urbanization}} process constantly accelerated, it causes {{a lot of}} the <b>traffic</b> <b>safety</b> problems. It is a serious subject how to bring down the high rate of traffic accidents through the <b>traffic</b> <b>safety</b> management. This paper firstly presents the significance of strengthening the <b>traffic</b> <b>safety</b> management through analyzing and studying <b>traffic</b> <b>safety</b> situation in our country at present. Secondly, by the analysis to the relations between the <b>traffic</b> <b>safety</b> management and <b>traffic</b> <b>safety,</b> it finds the every management factors of influencing the <b>traffic</b> <b>safety</b> problems. Meanwhile the analysis to the <b>traffic</b> <b>safety</b> will play the important part in improving the <b>traffic</b> <b>safety</b> management. Finally, the paper illuminates the structure system of the <b>traffic</b> <b>safety</b> management, and further confirms the developing directions and trends of the <b>traffic</b> <b>safety</b> management in the future, making the <b>traffic</b> <b>safety</b> management take the advantage in the maximum extent...|$|R
5000|$|Office of the State Inspection of Road <b>Safety</b> (<b>Traffic</b> Police) ...|$|R
5000|$|Traffic Police (...) - road <b>safety,</b> <b>traffic</b> {{marshalling}} {{and highway}} patrol/pursuit ...|$|R
50|$|Hard {{barriers}} are fixed or removable guards which prevent entry. There include fences, <b>traffic</b> <b>barriers,</b> and crush barriers.|$|R
5000|$|Main Directorate for Road <b>Traffic</b> <b>Safety</b> (<b>Traffic</b> police) (Russian: Государственная инспекция безопасности дорожного движения) ...|$|R
50|$|<b>Traffic</b> <b>barriers</b> (sometimes called crash barriers, or Armco barriers, {{also known}} in North America as {{guardrails}} or guard rails and in Britain as crash barriers) keep vehicles within their roadway and prevent vehicles from colliding with dangerous obstacles such as boulders, sign supports, trees, bridge abutments, buildings, walls, and large storm drains. <b>Traffic</b> <b>barriers</b> are also {{installed at the}} roadside to prevent errant vehicles from traversing steep (non-recoverable) slopes or entering deep water. <b>Traffic</b> <b>barriers</b> are installed within medians of divided highways to prevent errant vehicles from entering the opposing carriageway of traffic and help to reduce head-on collisions. Some of these barriers, designed to be struck from either side, are called median barriers. Crash barriers {{can also be used}} to protect vulnerable areas like school yards, pedestrian zones, and fuel tanks from errant vehicles.|$|R
2500|$|... National Highway <b>Traffic</b> <b>Safety</b> Administration <b>Traffic</b> Tech ...|$|R
