1|84|Public
5000|$|Iain Archibald Gillespie, <b>Senior</b> <b>Veterinary</b> <b>Inspector,</b> Sudan Government ...|$|E
50|$|The town {{also has}} a {{reasonably}} well maintained veterinary hospital with a veterinary doctor and a <b>veterinary</b> <b>inspector.</b>|$|R
50|$|George Leonard Somerwill, TD, <b>Senior</b> <b>Veterinary</b> Officer, Ministry of Agriculture, Swaziland.|$|R
60|$|Veterinary-Captain H.T.W. Mann, [Wounded in action, 20th September, 1897.] Army <b>Veterinary</b> Department, <b>Senior</b> <b>Veterinary</b> Officer.|$|R
25|$|All Norwegian sealing {{vessels are}} {{required}} to carry a qualified <b>veterinary</b> <b>inspector</b> on board. Norwegian sealers {{are required to}} pass a shooting test each year before the season starts, using the same weapon and ammunition as they would on the ice. Likewise, they have to pass a hakapik test.|$|R
50|$|In May 1913 he {{received}} his diploma in agricultural engineering. He worked for {{a year as a}} <b>veterinary</b> <b>inspector</b> in the Central Agriculture Association in Warsaw. Meanwhile, he entered the Rifleman Squads, with the nickname Kownacki. He graduated from the Rifleman Squad School in Nowy Sącz in 1914.|$|R
50|$|Mate Trojanović (20 May 1930 - 27 March 2015) was a Croatian rower {{who won a}} {{gold medal}} in the coxless four event at the 1952 Summer Olympics. After {{completing}} his studies in veterinary medicine in Split he moved to Maribor, where he worked as a <b>veterinary</b> <b>inspector</b> with the Yugoslav federal customs.|$|R
25|$|On 22 May 1907 Bland {{received}} a telegram from the Police at Balik Pulau reporting that Glanders {{had broken out}} there. Bland immediately sent Alfred Martin White, Government <b>Veterinary</b> <b>Inspector,</b> across the hills to investigate. White, whose diagnosis was later confirmed by a pathological examination by Government Veterinary Surgeon, William Henry MacArthur, who identified the bacteria as being the Trypanswomes.|$|R
40|$|Co-regulation in {{food safety}} {{represents}} the shared responsibility between food business operators and {{the competent authority}} (CA) to ensure food safety and {{to comply with the}} health requirements of importing countries. The evolution of food regulation on one hand and the quality assurance of the veterinary services of the ONSSA according to the ISO 17020 standard on the other hand, need studying the regulation model adopted at national level. The objective of this work is to analyze the main health risks associated with fishery products from a co-regulatory perspective. The hazards targeted by this study are histamine, parasites and sulfites. The approach is based on structured interviews with fishery products professionals and <b>veterinary</b> <b>inspectors</b> responsible for control and certification. The main hazards are controlled by adopting health control plans (PMS) by the professionals within the establishments as well as the official control carried out by the inspecting veterinarians. The PMS implementation can produce conflicting injunctions for the <b>veterinary</b> <b>inspectors</b> of the competent authority. ...|$|R
5000|$|District Livestock Department {{is headed}} by District Office Livstock with two Deputy Livestok Officers viz Breed Improvement and Animal Health. There are Two Additional Principal <b>Veterinary</b> Officers, One <b>Senior</b> <b>Veterinary</b> Officer and {{eighteen}} Veterianry Officers ...|$|R
50|$|McEachran {{helped develop}} {{sanitary}} measures to counter epidemics in animals and made many {{trips to the}} US to study the prevention and treatment of such epidemics, particularly among horses. In 1885 {{he became the first}} chief <b>veterinary</b> <b>inspector</b> for Canada. In the late 1880s he helped establish two large horse breeding ranches in Alberta and then provided management for others from his home in Montreal.|$|R
