2|2176|Public
2500|$|... 2009: Wells Fargo {{acquired}} North Coast <b>Surety</b> <b>Insurance</b> <b>Services.</b>|$|E
50|$|Casualty {{insurance}} is mainly liability coverage {{of an individual}} or organization for negligent acts or omissions. However, the term has also been used for property insurance, aviation insurance, boiler and machinery insurance, and glass and crime insurance. It may include marine insurance for shipwrecks or losses at sea, fidelity and <b>surety</b> <b>insurance,</b> earthquake insurance, political risk insurance, terrorism <b>insurance,</b> fidelity and <b>surety</b> bonds.|$|R
50|$|The Office of the President, the Secretaries of State, the Administrative Departments and the Legal Counsel of the Federal Executive, {{comprise}} the central public administration. The decentralized bodies, state owned enterprises, national institutions of credit, national credit auxiliary organizations, national institutions and <b>surety</b> <b>insurance</b> and trusts, {{make up the}} government parastatal.|$|R
25|$|<b>Surety</b> bond <b>{{insurance}}</b> is a three-party insurance guaranteeing {{the performance}} of the principal.|$|R
50|$|First West’s other {{businesses}} lines include First West Capital, Envision Investment Services, Valley First Investment <b>Services,</b> Envision <b>Insurance</b> <b>Services,</b> Valley First <b>Insurance</b> <b>Services,</b> First West Leasing and Island Savings <b>Insurance</b> <b>Services.</b>|$|R
50|$|Both {{believed}} that credit <b>insurance</b> <b>services</b> {{had to be}} offered independently from traditional <b>insurance</b> <b>services,</b> because credit <b>insurance</b> <b>services</b> brought answers to specific needs.Dr. Emil HERZFELDER was {{the first member of}} Hermes’ Management Board.|$|R
50|$|In November 2010, Travelers {{entered into}} a joint venture {{agreement}} under which the company would invest in J. Malucelli Participações em Seguros e Resseguros S.A., the market leader in the <b>surety</b> <b>insurance</b> business in Brazil. The transaction closed in June 2011 with Travelers acquiring a 43.4 percent interest. Travelers' investment in newly issued shares significantly increased J. Malucelli's capital level, positioning it for substantial growth in Brazil. At the time, Travelers had the option to increase its investment to retain a 49.5 percent interest, which the company later did in 2012.|$|R
50|$|<b>Insurance</b> <b>Services</b> of America is an {{independent}} insurance brokerage specializing in <b>insurance</b> <b>services,</b> international health <b>insurance,</b> and short-term medical insurance for US citizens.|$|R
5000|$|April, 2008, BB&T <b>Insurance</b> <b>Services</b> {{moved to}} the west coast with the {{acquisition}} of UnionBanc <b>Insurance</b> <b>Services</b> Inc., headquartered in San Diego, CA.|$|R
50|$|Reliance General <b>Insurance</b> offers <b>insurance</b> <b>services</b> {{across the}} domains of motor, health, travel and home. The {{commercial}} <b>insurance</b> <b>services</b> include commercial vehicle, office and marine.|$|R
50|$|In February 1933, the Town and Village <b>Insurance</b> Company <b>Services</b> {{worked under}} an {{agreement}} with Grange <b>Insurance</b> <b>Services,</b> Inc. to write automobile insurance {{for members of the}} Ohio State Grange. Grange <b>Insurance</b> <b>Services,</b> Inc. served as a general agent in Ohio and conducted all sales efforts and promotions. Town and Village <b>Insurance</b> <b>Services</b> then wrote business under a special automobile policy provided by the New Century Casualty Company of Chicago, Illinois.|$|R
40|$|In {{light of}} the growing {{significance}} of trade in financial services, and the emphasis placed on trade in financial services during the Uruguay round of trade negotiations, this article is the first study of the determinants of intra-industry trade (IIT) in <b>insurance</b> <b>services.</b> The article analyzes and measures the magnitude of IIT in <b>insurance</b> <b>services</b> for the United States. The empirical results of the determinants of IIT indicate that foreign direct investment in <b>insurance</b> <b>services</b> (FDI) is a significant contributor to the volume of trade in <b>insurance</b> <b>services.</b> These empirical findings confirm the new theoretical trade models that, unlike the traditional trade theory that considered trade and foreign direct investment in <b>insurance</b> <b>services</b> as substitutes, trade and FDI complement each other and hence multinational insurance companies are contributing {{to an increase in}} the volume of trade in <b>insurance</b> <b>services.</b> Furthermore, this study shows that trade intensity between the United States and its trading partners leads to product differentiation in <b>insurance</b> <b>services</b> and hence an increase in consumer welfare. Copyright 2003 The Journal of Risk and Insurance. ...|$|R
40|$|The {{objective}} {{of this study was}} to examine the conceptual model and to study the relationships between customer perceptions of the benefits of sales promotion, quality, adequacy of premium, and adequacy of information about the coverage of <b>insurance</b> <b>services.</b> The research model was tested with structural equation modeling (SEM) with a sample of 200 Slovenian users of <b>insurance</b> <b>services.</b> The results indicated that higher perceived benefits of sales promotion were associated with higher perceived quality of <b>insurance</b> <b>services.</b> In addition, higher perceived quality was associated with higher perceived adequacy of information about the coverage and the premium for <b>insurance</b> <b>services.</b> The study also found that higher perceived adequacy of premium was associated with higher perceived adequacy of information about the coverage of <b>insurance</b> <b>services...</b>|$|R
5000|$|In July, 2010, Greenwich Associates honored BB&T <b>Insurance</b> <b>Services</b> {{with three}} top awards in {{customer}} satisfaction. Greenwich Associates rated BB&T <b>Insurance</b> <b>Services</b> as excellent in three separate studies conducted: ...|$|R
50|$|Media Benefits <b>Insurance</b> <b>Services</b> (MBIS), {{a wholly}} owned <b>insurance</b> <b>service</b> of First Entertainment, {{operates}} under the credit union's CUSO MBC and offers its members auto, vehicle, renter's, homeowner's and pet coverage.|$|R
5000|$|DWF is {{structured}} into two legal service areas, covering Commercial <b>Services</b> and <b>Insurance</b> <b>Services</b> respectively. The <b>Insurance</b> <b>Services</b> area includes a practice dealing with [...] "Claimant Services", delivered as Resolution Law.|$|R
5000|$|Economical Insurance, {{founded in}} 1871, is a Canadian Property & Casualty {{insurance}} company, offering automobile, property, liability, agriculture, and <b>surety</b> <b>insurance.</b> Its executive offices {{are located in}} Waterloo, Ontario, with regional offices across Canada. The company has a 4.02% market share, measured by direct written premium in the Canadian Property & Casualty Insurance market as of December 2012.As of 2014, it had about 1.6 billion in mutual policyholder's equity. It is the 9th largest property and casualty insurance company in Canada, by direct written premium and the 20th largest insurance company in Canada, by total assets.|$|R
50|$|Homeowner's {{insurance}} {{was first}} introduced in the 1950s. Today, most homeowner's insurance policies are based on forms developed by the <b>Insurance</b> <b>Services</b> Office (ISO) and the American Association of <b>Insurance</b> <b>Services</b> (AAIS).|$|R
50|$|A {{prominent}} <b>insurance</b> <b>service</b> provider in Saudi Arabia, incorporate in 2007 {{and listed}} on TADAWUL.Associates of Gulf Union Project Management {{company that was}} established in 1982, providing <b>insurance</b> <b>services</b> in Bahrain & Saudi Arabia, the company offers property, liability, automobile and health <b>insurance</b> coverage <b>services</b> in Saudi Arabia.|$|R
50|$|While {{coverage}} limits can vary, {{there are}} 6 core coverage components {{make up a}} standard policy in the United States. These are based on standard <b>Insurance</b> <b>Services</b> Office or American Association of <b>Insurance</b> <b>Services</b> forms.|$|R
50|$|He {{was born}} in Harvey Station, New Brunswick, the son of Don Kinney. He worked with Capital <b>Insurance</b> <b>Services</b> Ltd. and then M.S.C. Insurance, later {{becoming}} owner of the second company, renamed McAdam <b>Insurance</b> <b>Services</b> Ltd.|$|R
50|$|Motor {{insurance}} is arranged and administered by Autonet <b>Insurance</b> <b>Services</b> Ltd. Travel <b>insurance</b> are arranged and AllClear <b>Insurance</b> <b>Services</b> Limited; pet <b>insurance</b> {{is provided in}} association with Petwise, which is a trading name of Ultimate Insurance Solutions Limited.|$|R
50|$|Cal-Ag <b>Insurance</b> <b>Services,</b> Inc.|$|R
50|$|Titan <b>Insurance</b> <b>Services,</b> Inc.|$|R
50|$|Britsafe <b>Insurance</b> <b>Services</b> (Guernsey) Ltd.|$|R
50|$|ChoiceQuote <b>Insurance</b> <b>Services,</b> taxi <b>insurance</b> broker.|$|R
50|$|HVFCU Insurance Agency {{provides}} <b>insurance</b> <b>services.</b>|$|R
50|$|TBG Financial & <b>Insurance</b> <b>Services</b> Corp.|$|R
50|$|Churchill {{acquired}} Devitt <b>Insurance</b> <b>Services</b> in 1999.|$|R
50|$|Mutual & Federal: <b>insurance</b> <b>services</b> (South Africa).|$|R
50|$|BB&T <b>Insurance</b> <b>Services,</b> Inc. is a {{subsidiary}} of BB&T Insurance Holdings, Inc., a BB&T Corporation (Branch Banking & Trust) Company. It is the fifth largest Insurance Broker by revenue in the United States and sixth largest in world. In 2013, BB&T <b>Insurance</b> <b>Service's</b> revenues were $1,582,443,400.|$|R
5000|$|PKO Życie Towarzystwo Ubezpieczeń SA (<b>insurance</b> <b>services,</b> Warsaw) ...|$|R
5000|$|Dr. Aaron Moore rooted North Carolina Mutual Life Insurance Company in its [...] "commitment to service", {{bringing}} {{much needed}} <b>insurance</b> <b>services</b> to the African American community in Durham. The access to reliable <b>insurance</b> <b>services</b> ensured that individuals could afford necessary treatment and healthcare services {{in times of}} need.|$|R
25|$|Chairman {{and chief}} executive, Calmady <b>Insurance</b> <b>Services</b> Ltd 1982-83.|$|R
2500|$|Credit or banking or <b>insurance</b> <b>services,</b> and {{incidental}} facilities; ...|$|R
5000|$|Chairman {{and chief}} executive, Calmady <b>Insurance</b> <b>Services</b> Ltd 1982-83.|$|R
