1|172|Public
5000|$|... 1915: Graft vs. Love (1-19-1915), The Finger Prints of Fate (1-26-1915), The <b>Smuggled</b> <b>Diamond</b> (2-9-1915), The Adventure of Florence (2-23-1915), The Final Reckoning (3-9-1915), The Duel in the Dark (3-23-1915), The Cycle of Hatred (4-6-1915), Bianca Forgets (4-27-1915), Monsieur Nikola Dupree(5-4-1915), God's Witness (5-20-1915), A Freight Car Honeymoon (6-6-1915), The Six-Cent Loaf (6-8-1915), The Country Girl (6-15-1915), Crossed Wires (6-29-1915), When the Fleet Sailed (8-3-1915), M. Lecoq (8-26-1915), Reincarnation (8-31-1915), A Disciple of Nietzsche (9-25-1915), The Price of Her Silence (9-30-1915), Mr. Meeson's Will (11-6-1915), All Aboard (11-28-1915), Her Confession (12-12-1915) ...|$|E
50|$|Steed and Cathy {{investigate}} {{a gang of}} criminals who are flooding the market with <b>smuggled</b> <b>diamonds.</b>|$|R
50|$|Commissioner Sanders {{begins to}} suspect the clinic as a {{location}} for <b>smuggled</b> <b>diamonds</b> {{from across the}} border.|$|R
50|$|Captain Gault <b>smuggles</b> <b>diamonds</b> past customs officials. The plot {{involves}} a cage of chickens who are fed phony diamonds to deceive a spy.|$|R
50|$|In this production, Sanders plays a dual role, {{not only}} that of Templar but of his doppelgänger, Duke Bates. When Bates is spotted <b>smuggling</b> <b>diamonds</b> into the US, Templar is blamed for the crime.|$|R
50|$|Luca Buglione, {{the boss}} of a rival clan, decides to become a pentito. He makes a deal with Perez: if the lawyer will {{retrieve}} a batch of <b>smuggled</b> <b>diamonds</b> for him, then he will testify against Francesco.|$|R
5000|$|Sanford and Son (1976): NBC; Fred {{and his son}} are {{vacationing in}} Hawaii and partaking in a {{convention}} for junk dealers. Little do they realize a pair of jewelry thieves are using them to <b>smuggle</b> <b>diamonds</b> to the mainland United States! ...|$|R
5000|$|Neliandavar and Neelavathi's third son {{and husband}} of Paramu. He and his eldest brother forced Neliandaver to {{separate}} their shares, and using his money, {{he did a}} share trading business, and later started to <b>smuggle</b> <b>diamonds,</b> landing Selvarangam in jail. Unable to bear the embarrassment, Ramesh and Paramu fled to Madurai.|$|R
50|$|His {{position}} of authority within the police {{has been exploited}} {{a number of times}} to successfully <b>smuggle</b> <b>diamonds</b> into England, and {{over the course of the}} episode he almost succeeds again, only to be foiled by PC Hoskins who drives him into a sting and lands Slater with a five-year prison sentence.|$|R
50|$|The films {{document}} the various dramas of the family, including Joe Huggett standing for election, and a holiday to South Africa involving <b>smuggled</b> <b>diamonds.</b> The films were popular with post-war British audiences. The family had {{first appeared in}} the film Holiday Camp (1947), which was then spun off for a series of films.|$|R
50|$|They {{eventually}} {{find out}} that Oberoi, has a nefarious business through his modeling agency. He drugs the models during the photo shoot abroad, operates them and <b>smuggles</b> <b>diamonds</b> into India using their bodies. When the models return to India, they again drug the model and take it out and kill the girl.|$|R
50|$|Mario and Santiago are in {{love with}} the same woman, Martha. Martha got {{pregnant}} of Mario and Santiago married her and together they had two daughters, Gabriela and Julieta. Mario and Santiago are involved in <b>smuggling</b> <b>diamonds</b> headed by Adolfo Avila, the man who kills Martha and he blames Mario and Santiago of the murder.|$|R
50|$|Later, Jim, Amanda and her {{roommates}} get captured, but escape when Roxana seduces their Russian guard, {{and with}} the help of the models realize what Halloran was really doing, <b>smuggling</b> <b>diamonds.</b> Amanda, Jim, and the models go to a fashion runway and take down Strukov. They are all awarded special commendations for meritorious service from the FBI.|$|R
50|$|Von Clemm {{was born}} in Long Island, USA on March 18, 1935, the son of Werner von Clemm, a {{prominent}} German-American banker, and grandson of a former Citibank Vice-President. When Von Clemm was 6 years old, during WWII, his father was arrested for trading <b>smuggled</b> <b>diamonds</b> from Europe and served two years in prison, before returning to banking.|$|R
5000|$|It {{later became}} known that during his espionage career, Yıldırım [...] "managed to recruit about five {{servicemen}} or servicewomen", {{and worked as}} a courier. His main espionage activity was the selling of top classified documents to the Stasi which he received from James Hall III. Yıldırım's sideline job was <b>smuggling</b> <b>diamonds</b> from Sierra Leone into Europe and the United States.|$|R
