1|150|Public
5000|$|Settle Down / <b>Sea</b> <b>Dune</b> - EP (1998) Unbelievable Truth (Virgin Records) ...|$|E
5000|$|... 1892 Sturm in den Ostsee-Dünen (Storm in the Baltic <b>Sea</b> <b>Dunes),</b> Ein Sommertag in den Ostsee-Dünen (A Sommer {{day in the}} Baltic <b>Sea</b> <b>Dunes)</b> ...|$|R
5000|$|... 1889 In den Dünen bei aufziehendem Gewitter (In {{the dunes}} at thunderstorm), In den Ostsee-Dünen (In the Baltic <b>Sea</b> <b>Dunes)</b> ...|$|R
50|$|A {{section of}} the village {{seashore}} {{is part of the}} Saltfleetby-Theddlethorpe Dunes National Nature Reserve, which has <b>sea</b> <b>dunes</b> and both saltwater and freshwater marshes. The reserve is one of only five places in the UK where the natterjack toad is found.|$|R
50|$|The {{coast of}} the North Sea is unusually flat. The seabed descends in places only a few {{centimetres}} per kilometre. Twice daily the tide brings sand, clay and silt into the Wadden <b>Sea.</b> <b>Dunes,</b> formed by {{the wind out of}} fine grains of sand from the exposed mudflats, characterise the coast.|$|R
50|$|Erg Chebbi (عرق الشبي) {{is one of}} Morocco's two Saharan ergs - large <b>seas</b> of <b>dunes</b> {{formed by}} wind-blown sand. The other is Erg Chigaga near M'hamid.|$|R
50|$|Kurkar (كركار /כורכר) is {{the term}} used in Palestinian Arabic and modern Hebrew for the rock type of which lithified <b>sea</b> sand <b>dunes</b> consist. The {{equivalent}} term used in Lebanon is ramleh.|$|R
40|$|In {{the article}} was taken an issue of the tourist opinion on the tourist {{activity}} and perception of two selected middle coastal towns Ustka and Łeba. The results show that both towns were visited by the tourists coming {{from all parts of}} Poland. The travels were most often organized independently by car with accommodation in private rooms and boarding houses. The most attractive elements for tourists in both towns were indicated the elements directly linked with theirs location as <b>sea,</b> <b>dunes,</b> lighthouses, festival and events or pier. Key words: coast, tourist perception, tourist attractiveness, tourist trip...|$|R
50|$|Overveen {{is a town}} in North Holland in the Netherlands, in the {{municipality}} of Bloemendaal. Overveen lies on the eastern fringe of the North <b>Sea</b> <b>dunes.</b> To the east it borders the built-up areas of Haarlem. A few kilometres {{to the west of}} the town lies the Erebegraafplaats Bloemendaal (Honorary Cemetery), where many Second World War victims have been reburied, including resistance fighter Hannie Schaft, sculptor and resistance leader Gerrit van der Veen, banker and resistance member Walraven van Hall and sculptor and resistance member Johan Limpers. The town is connected to rail service by the Overveen railway station.|$|R
50|$|Only {{one species}} (P. mucronata) reaches north to Egypt and inhabits along the Red <b>Sea</b> coastal <b>dunes</b> and sandy plains with fairly good {{vegetation}} cover. Other species are distributed in low-lying, arid Somali-Masai Acacia-Commiphora deciduous bushland and semi-desert shrubland vegetation in eastern Africa.|$|R
50|$|The {{strong winds}} and high waves during high tide make perfect {{conditions}} for nautical sports like kite surfing. At low tide, pools {{appear on the}} beach and corals are visible under a turquoise blue <b>sea.</b> The <b>dunes</b> are beautiful to visit by buggy.|$|R
50|$|Tatooine {{is mostly}} a desert environment. Characters make {{reference}} in the films to the deserts by name; the Jundland Wastes, a rocky region, is {{the location of the}} Tusken Raider attack (Star Wars, 1977), and the vast sandy <b>Dune</b> <b>Sea</b> is the setting for Jabba the Hutt's Palace. Also situated in the <b>Dune</b> <b>Sea</b> is the Great Pit of Carkoon, the lair of the deadly omnivorous Sarlacc creature.|$|R
50|$|Southern Namib (between Lüderitz and the Kuiseb River) {{comprises}} a vast <b>dune</b> <b>sea</b> {{with some}} of the tallest and most spectacular dunes of the world, ranging in color from pink to vivid orange. In the Sossusvlei area, several dunes exceed 300 m in height. The complexity and regularity of dune patterns in its <b>dune</b> <b>sea</b> have attracted the attention of geologists for decades, but it remains poorly understood.|$|R
50|$|Turkey's largest {{sand dunes}} {{are in the}} area between the lake and the <b>sea.</b> The <b>dunes</b> extend as wide as 3 {{kilometers}} and rise as high as 20 meters. In between the dune hills, that line up along the coast, depression goes below the sea level.|$|R
50|$|Gemini Beach Park is a 2 acre park nestled between Ellwood and Park Avenue and {{contains}} <b>dunes,</b> <b>sea</b> turtles, and birdlife.|$|R
5000|$|... "A Planet that is Farthest From" [...] —"The <b>Dune</b> <b>Sea</b> of Tatooine" [...] / [...] "Jawa Sandcrawler" [...] (from A New Hope) ...|$|R
40|$|Einige Pflanzengesellschaften der schwedischen Ostsee-Inseln Gotland, Öland und Stora Karlsö werden besprochen und mit Tabellen erläutert. Sie beziehen sich auf "Änge" (Komplexe von Laubwald und Wiese), Nadelwälder auf Kalkboden bzw. auf Sand, Saumgesellschaften, Alvar (Helianthemo-Globularion und Alysso-Sedion), feuchte Wiesen und Weiden (Molinion und Lolio-Potentillion), Sümpfe und Gewässer (Caricion davallianae und Littorellion), Salzwiesen (Armerion maritimae), Stranddünen (Ammophiletalia und Festuco-Sedetalia), feuchte Dünentäler und Schwalben-Guano unter Felsrändern. Some plant {{communities}} of the Baltic Sea islands of Gotland, Oland and Stora Karlso are investigated and discussed. They concern Ange (mixed stands of deciduous woodland, fringes and meadows, representing an ancient agrarian practice), pine woodlands on limestone {{as well as on}} sand, woodland fringes, alvar (open, dry to damp limestone grasslands), damp meadows and pastures, swamps and pools, salt marshes, <b>sea</b> <b>dunes,</b> as well as a nitrophilous Asperugo community on swallow guano...|$|R
50|$|This bitter {{has been}} {{produced}} by Stumbras {{for more than}} five decades. It is named in honour of the resort of Palanga and intended to evoke the sound of the Baltic <b>Sea,</b> sand <b>dunes</b> and romantic sunsets. The drink has a slightly sour taste with overtones of rowan berries, a rich aroma and brownish red colour.|$|R
50|$|Durnesh Lough is {{separated}} from the <b>sea</b> by sand <b>dunes.</b> An artificial channel flowing to the sea admits some seawater. A small number of streams enter the lagoon.|$|R
