1|169|Public
5000|$|... #Caption: A <b>selfacting</b> <b>spinning</b> <b>mule</b> {{built by}} the company in 1892 ...|$|E
5000|$|... #Caption: The <b>spinning</b> <b>mule</b> at Armley Mills Industrial Museum ...|$|R
50|$|The 1877 Stott mill used Asa Lees <b>spinning</b> <b>mules.</b>|$|R
5000|$|... #Caption: Headstock of a Hetherington {{designed}} <b>Spinning</b> <b>Mule</b> 1892 ...|$|R
5000|$|... #Caption: Running <b>spinning</b> <b>mule,</b> built 1897, Mueller Cloth Mill ...|$|R
500|$|A [...] {{diameter}} {{overshot wheel}} powered <b>spinning</b> <b>mules</b> and jennies.|$|R
5000|$|... #Caption: The <b>Spinning</b> <b>mule,</b> {{built by}} the {{inventor}} Samuel Crompton.|$|R
5000|$|... #Caption: The only {{surviving}} {{example of}} a <b>spinning</b> <b>mule</b> built by the inventor Samuel Crompton ...|$|R
50|$|Originally Platt Brothers <b>spinning</b> <b>mules,</b> and {{breaking}} and carding equipment. Replaced by ring frames in 1916.|$|R
50|$|Hetherington, <b>spinning</b> <b>mule</b> wefts (76,860 spindles) {{and ring}} twists (2976 spindles) coarse cotton counts, 8s to 24s.|$|R
50|$|Samuel Crompton, {{inventor}} of the <b>Spinning</b> <b>Mule</b> built and lived at Low Hill House, Bury Fold Lane in Darwen.|$|R
50|$|Arkwright Mill {{was built}} in 1885 by the Arkwright Cotton Spinning Co and used both ring frames and <b>spinning</b> <b>mules.</b>|$|R
5000|$|... #Caption: The Spinning Jenny and <b>Spinning</b> <b>Mule</b> (shown) greatly {{increased}} {{the productivity of}} thread manufacturing compared to the spinning wheel.|$|R
50|$|The <b>spinning</b> <b>mule</b> {{that was}} brought to Ghent can still be visited, in the Museum for Industrial Archeology and Textile (MIAT).|$|R
5000|$|... #Caption: The only {{surviving}} {{example of}} a <b>spinning</b> <b>mule</b> built by the inventor Samuel Crompton. The mule produced superior quality thread with minimal labour.|$|R
50|$|Nick Crompton {{invented the}} <b>{{spinning}}</b> <b>mule</b> in 1779, so called {{because it is}} a hybrid of Arkwright's water frame and James Hargreaves' spinning jenny {{in the same way that}} mule is the product of crossbreeding a female horse with a male donkey. The <b>spinning</b> <b>mule</b> has a fixed frame with a creel of bobbins to hold the roving, connected through the headstock to a parallel carriage with the spindles. On the outward motion, the rovings are paid out through attenuating rollers and twisted. On the return, the roving is clamped and the spindles reversed to take up the newly spun thread.|$|R
5|$|Among {{the notable}} people born in Bolton are the Protestant martyr George Marsh, 1515–55, the {{inventor}} of the <b>spinning</b> <b>mule</b> that revolutionised the textile industry, Samuel Crompton, 1753–1827, and industrialist Lord Leverhulme of Bolton-le-Moors, 1851–1925.|$|R
25|$|Samuel Crompton {{invented the}} <b>{{spinning}}</b> <b>mule</b> in 1779, so called {{because it is}} a hybrid of Arkwright's water frame and James Hargreaves' spinning jenny {{in the same way that}} mule is the product of crossbreeding a female horse with a male donkey (a female donkey is called a jenny). The <b>spinning</b> <b>mule</b> has a fixed frame with a creel of cylindrical bobbins to hold the roving, connected through the headstock to a parallel carriage with the spindles. On the outward motion, the rovings are paid out through attenuating rollers and twisted. On the return, the roving is clamped and the spindles reversed to take up the newly spun thread.|$|R
50|$|He {{moved to}} Manchester, and was {{employed}} at Satterfield's Drapery in St Ann's Square (a plaque currently marks the site). With money borrowed {{from his brother}} {{he set up a}} workshop making <b>spinning</b> <b>mules</b> but exchanged the business for 6 <b>spinning</b> <b>mules,</b> which he operated in a rented space. In 1792 he was made manager of the Piccadilly Mill at Bank Top by the mill-owner Peter Drinkwater at the age of 21, but after two years he voluntarily gave up a contracted promise of partnership in the company and left to go into partnership instead with other entrepreneurs to establish and manage the Chorlton Twist Mills in Chorlton-on-Medlock.|$|R
50|$|In 1856 Joseph Porritt {{established}} Sunnybank Mill, {{an enormous}} mill which once housed the world's largest <b>spinning</b> <b>mules.</b> The other main Helmshore mill dynasty were the Whittakers, one of whose mills makes {{up part of}} the Textile Museum.|$|R
