1|18|Public
5000|$|... 2008 - <b>Stretch</b> <b>Pack</b> (with Phace) / Life Goes On (with Phace feat. Eisblume) ...|$|E
50|$|Djarum Black is a kretek (clove cigarette) {{manufactured}} by Djarum. It {{is sold in}} a <b>stretched</b> <b>pack,</b> two cigarettes wide and ten cigarettes long. The cigarette itself is black, flavored paper. The cigarette features a clove flavor both in scent and taste, and the paper has a sweet taste. It is made with natural Indonesian tobacco, and is widely distributed throughout the world.|$|R
40|$|Map of Antarctica and the Pacific, Atlantic and Indian Oceans showing inland ice, glaciers, shelf ice, {{observed}} <b>stretches</b> of <b>pack</b> ice (with dates), extreme {{limit of}} drifting sea ice (essentially according to Haardt) and political boundaries. Relief shown by soundings, bathymetric tints, bathymetric isolines, spot heights and contours.; Also available in an electronic version {{via the internet}} at: [URL]...|$|R
25|$|Bridging: {{blockers}} move {{behind the}} main pack {{by up to}} 10 feet to <b>stretch</b> out the <b>pack.</b> This also <b>stretches</b> out the engagement zone, allow their team members to continue hindering the opposition jammer.|$|R
40|$|The Src {{homology}} 3 (SH 3) {{domain of}} the Src family kinase Lyn binds to the herpesviral tyrosine kinase interacting protein (Tip) more than one order of magnitude stronger than other closely related members of the Src family. In order to identify the molecular basis for high-affinity binding, the structure of free and Tip-bound Lyn-SH 3 was determined by NMR spectroscopy. Tip forms additional contacts outside its classical proline-rich recognition motif and, in particular, a strictly conserved leucine (L 186) of the C-terminally adjacent sequence <b>stretch</b> <b>packs</b> into a hydrophobic pocket on the Lyn surface. Although {{the existence of this}} pocket is no unique property of Lyn-SH 3, Lyn is the only Src family kinase that contains an additional aromatic residue (H 41) in the n-Src loop as part of this pocket. H 41 covers L 186 of Tip by forming tight hydrophobic contacts, and model calculations suggest that the increase in binding affinity compared with other SH 3 domains can mainly be attributed to these additional interactions. These findings indicate that this pocket can mediate specificity even between otherwise closely related SH 3 domains...|$|R
50|$|Ferns, {{flowering}} plants, {{mushrooms and}} mosses-dried, pressed, <b>stretched</b> and <b>packed</b> in paper capsules. The {{core of the}} botanical collection consists of {{more than half a}} million well-preserved plants. Special collections of fruits and seeds as well as models of fruits and an extensive xylotheque (library of woods) complement the herbarium, which shows a comprehensive archive of Styrian flora and the base for research projects on local vegetation. Franz Unger did some of his early teaching and research in this department while he resided in Graz.|$|R
50|$|JanPak {{operations}} {{are made up}} of janitorial and packaging products. Janitorial products distributed by JanPak consists of toilet paper, paper towels, soap, trash can liners, and mops. Several branded janitorial products that JanPak supplies is 3M, Diversey, Kimberly-Clark, and Georgia-Pacific. Corrugated boxes, <b>stretch</b> wrap, <b>packing</b> tape, and bubble wrap are some of the packaging products distributed by JanPak. Foodservice products such as paper cups, food container, and plastic utensils are also distributed by JanPak. Wilmar, CleanSource, and AmSan of Interline Brands are streamlined with operations of JanPak for more efficiency with its customer base.|$|R
50|$|A perfect {{start from}} both McLaren-Mercedes saw them lead {{through the first}} corner, with Häkkinen ahead of Coulthard. Fisichella and Schumacher were running 3rd and 4th. In the early stages the two McLaren-Mercedes pulled ahead, netting 12 fastest laps between them from laps 4 to 12. The <b>pack</b> <b>stretched</b> out behind them, while Heinz-Harald Frentzen succumbed to {{pressure}} from Eddie Irvine. On lap 18 David Coulthard retired with engine problems.|$|R
2500|$|Mixer chiropractors [...] "mix" [...] {{diagnostic}} and treatment approaches from chiropractic, medical and/or osteopathic viewpoints {{and make up}} the majority of chiropractors. Unlike straight chiropractors, mixers believe subluxation is one of many causes of disease, and hence they tend to be open to mainstream medicine. Many of them incorporate mainstream medical diagnostics and employ conventional treatments including techniques of physical therapy such as exercise, <b>stretching,</b> massage, ice <b>packs,</b> electrical muscle stimulation, therapeutic ultrasound, and moist heat. Some mixers also use techniques from alternative medicine, including nutritional supplements, acupuncture, homeopathy, herbal remedies, and biofeedback.|$|R
40|$|AbstractThis study {{investigated}} the effect of active, passive, and no warm-up {{on the time of}} reaching 75 % of maximum exertion in cycling ergometry testing. The study adopted a randomized repeated measures design. A total of 20 able-bodied adults (11 males, 9 females) were tested in three sessions in random order, namely active warm-up, passive warm-up, and no warm-up. Active warm-up comprised active stretching of thigh muscles, treadmill running, and cycling on an ergometer at low intensity. Passive warm-up comprised passive <b>stretching,</b> hot <b>pack,</b> and massage to both thighs. All subjects underwent cycling ergometry testing with a constant work output in each session. The main outcome measure was the time to reach a level of 15 in the rate of perceived exertion (RPE). Results showed a significant difference (p = 0. 04) in the exercise time before reaching RPE 15 among the three conditions. Post hoc analysis revealed that subjects had longer exercise time after passive warm-up than active warm-up and no warm-up (p = 0. 05 and p = 0. 04, respectively). This result suggests that passive warm-up prior to exercise could lengthen exercise time before subjects reach a high level of perceived exertion in cycling...|$|R
60|$|A niche {{was soon}} found, and Archie and his {{companion}} {{sat down for}} a while. Archie, however, soon discovered that the sides and back of his seat were formed of the strange columns of which Duncan had spoken, {{and that he was}} sitting upon the tops of others which had broken off. Eagerly he passed his hands over the surface of these strange pillars, and questioned his companion as to what he knew about them; but Ronald could tell him no more than his father had done, and Archie was forced to await the dawn to examine more closely the strange columns. Daylight only added to his wonder. On all sides of him <b>stretched</b> the columns, <b>packed</b> in a dense mass together, while range above range they stood {{on the face of the}} great cliffs above him. The more he examined them the more his wonder grew.|$|R
