2|1559|Public
2500|$|Eagle Claw: 139 is a <b>Snelled</b> Baitholder, Offset, Down Eye, Two Slices, Medium Wire ...|$|E
2500|$|Alice's first {{marriage}} occurred [...] "while in her teens {{and still a}} school girl." [...] She married Walter Comonfort <b>Snelling</b> (1859–1893) on [...] October 20, 1879 in Washington, D.C. <b>Snelling</b> was an inventor who patented an adding machine. They had at least three sons, chemist Walter Otheman <b>Snelling</b> (1880–1965), Henry H. <b>Snelling,</b> and Charles Hornor <b>Snelling</b> (1887–1907).|$|R
50|$|Two years later, <b>Snelling</b> {{left school}} and {{gradually}} moved west. He {{lived with the}} Dakota tribe of American Indians for a winter. In 1821, <b>Snelling</b> reached his father's military post at Fort St. Anthony (later Fort <b>Snelling)</b> in Minnesota. William Joseph <b>Snelling</b> stayed there for five years, trading in furs and exploring the surroundings. During his time with the Dakota, he had learned their language and customs, and he worked as an interpreter between the Indian Agency and the Indians. For example, he helped negotiate the resolution of hostilities between the Dakota and the Chippewa and Winnebago tribes. In 1826, <b>Snelling</b> married Dionice Fournier, a Frenchwoman. She died a year later. Josiah <b>Snelling</b> died in 1828, and William Joseph <b>Snelling</b> moved on.|$|R
50|$|William Joseph <b>Snelling</b> {{was born}} on December 26, 1804, in Boston, Massachusetts. His father, Josiah <b>Snelling,</b> was {{an officer in the}} army, and his mother was Elizabeth Bell. His mother died when he was six years old, and <b>Snelling</b> moved outside Boston to live with {{relatives}} and attend school. At age 14, <b>Snelling</b> entered West Point.|$|R
5000|$|Papers of Josiah <b>Snelling</b> are {{available}} for research use. They include photocopied letters written by Josiah <b>Snelling,</b> military commissions and related documents from his service in the Massachusetts militia (1803-1808) and the United States infantry (1809-1820), documents relating to the Connecticut state militia during the Revolutionary War, and a journal kept by Colonel <b>Snelling</b> as commandant at Fort <b>Snelling</b> ...|$|R
50|$|As a {{foremost}} myrmecologist, he {{is credited}} with many important finds of rare or new ant species, such as the first Aphaenogaster cockerelli as Novomessor cockerelli colony in California, Myrmecocystus tenuinodis <b>Snelling</b> 1976 (the honeypot ant), Neivamyrmex wilsoni <b>Snelling</b> & <b>Snelling</b> 2007, and Myrmecocystus wheeleri, named by <b>Snelling</b> after the noted myrmecologist William Morton Wheeler, who was also William Steel Creighton's academic adviser. <b>Snelling</b> wrote that he was much influenced by W. S. Creighton's important 1950 volume The Ants of North America. In his career, <b>Snelling</b> would collaborate many times with Creighton, whose ant collection is now housed at the Los Angeles county museum.|$|R
5000|$|Fort <b>Snelling</b> (later <b>Snelling</b> Air Force Station, 21 January 1951 - 6 February 1952 ...|$|R
5000|$|Mark <b>Snelling,</b> 2010 {{candidate}} for lieutenant governor {{and son of}} former governor Richard <b>Snelling</b> ...|$|R
5000|$|Lever Brothers in {{substance}} was buying {{the right to}} 'extinguish' Bell and <b>Snelling.</b> Both parties were under the common mistake that Lever Brothers should pay the [...] "Golden Parachutes" [...] to Bell and <b>Snelling.</b> Lever Brothers did not know Bell and <b>Snelling</b> were speculating while Bell and <b>Snelling</b> did not know their speculation would entitle Lever Brothers to dismiss them without paying anything.|$|R
2500|$|<b>Snelling,</b> Bill (1996). The Tourist Trophy in Old Photographs Collected by Bill <b>Snelling.</b> Sutton Publishing ...|$|R
5000|$|Fort <b>Snelling</b> (later <b>Snelling</b> Air Force Station), Minnesota, 1 February 1952 - 1 January 1960 ...|$|R
