2|66|Public
5000|$|Gearbox and clutch: 5 <b>synchronized</b> <b>speed</b> + RG clutch single {{dry disc}} ...|$|E
40|$|Abstract. Limitation of <b>synchronizing</b> <b>speed</b> is a {{key feature}} for finite time {{synchronization}} of complex networks. We studied such limitations as coupling strength tends to infinity for networks with Lorenz oscillator as nodes under conditions that nodes were coupled in different ways. It was found that if nodes are coupled by only one state variable, coupling by second variable has the highest <b>synchronizing</b> <b>speed.</b> If nodes are coupled by two state variables, coupling by second and third variables has the highest <b>synchronizing</b> <b>speed.</b> If nodes are coupled by all three variables, the limitation of <b>synchronizing</b> <b>speed</b> will approach infinity...|$|R
50|$|<b>Synchronized</b> 8 <b>speed</b> transmission, 16 when {{equipped}} with Ta.|$|R
5000|$|Flash: PC-socket plus TTL-enabled {{hot shoe}} for Minolta AF-flashes, shutter <b>synchronized</b> for <b>speeds</b> up to 1/250 sec.|$|R
40|$|Proposed system enhances soundtracks of old movies. Signal on optical {{soundtrack of}} film {{digitized}} and processed to reduce noise and improve quality; timing signals added, and signal recorded on compact disk. Digital comparator and voltage-controlled oscillator <b>synchronizes</b> <b>speed</b> of film-drive motor and compact disk motor. Frame-coded detector reads binary frame-identifying marks on film. Digital comparator generates error signal if marks on film {{do not match}} those on compact disk...|$|R
40|$|Photograph {{of drawing}} of {{automobile}} part, Southern California, 1931. " 4 th Speed, Shifting Fork, 3 rd Speed; 3 rd & 4 th Speed Clutch Collar; Third <b>Speed</b> <b>Synchronizing</b> Cone; Synchronizing Control Plunger; Transmission Main Shaft; Countershaft; Countershaft Driven Gear; Main Drive Gear; Main Drive Shaft and Gear; Fourth <b>Speed</b> <b>Synchronizing</b> Cones; Fourth <b>Speed</b> Dog Clutch; Clutch Collar Position in Fourth Speed; Cutaway View of Synchronizing Mechanism" [...] on drawing...|$|R
50|$|Some {{aircraft}} {{provide a}} visual indicator of propeller synchronization in the cockpit. Pilots {{can use this}} indicator {{to decide whether or}} not to engage propeller synchronization, or to help them <b>synchronize</b> propeller <b>speeds</b> manually.|$|R
50|$|The Asian Skating Union (ASU) is the Asian {{governing}} body for competitive ice skating disciplines, including figure skating, <b>synchronized</b> skating, <b>speed</b> skating, and short track speed skating. It is now based in Seoul, South Korea.|$|R
40|$|A {{project work}} was done within the time frame of January to December 2004 in Islamic University of Technology, Gazipur, Bangladesh. The main {{objective}} of this work is to design a Flexible Material Handling System (FMS) that can automatically <b>synchronize</b> its <b>speed</b> as per requirement. The system is designed for two types of conveyor system where {{the speed of the}} horizontal conveyor belt will be related to the production rate and the speed of the vertical Bucket elevator will be synchronized. A very cheap electrical controller has been designed to <b>synchronize</b> the <b>speed</b> of the bucket elevator {{with the help of a}} stepper motor...|$|R
40|$|This paper {{presents}} and implements a new control approach to <b>synchronize</b> the chaotic <b>speed</b> of multiple induction motors. The direct torque control (DTC) using the stator flux regulation (SFR) method {{is the key}} for the chaotic speed control. Additionally, a nonlinear control approach, namely the adaptive time-delayed feedback control, is proposed to regulate the reference torque for the SFR-based DTC unit. By using the proposed control scheme, multiple induction motors can achieve a <b>synchronized</b> chaotic <b>speed</b> within a control-lable boundary. Index Terms—Chaos, direct torque control, flux regulation, induction motor, motor drive, synchronization. I...|$|R
40|$|Negotiating intersections is {{a complex}} driving task that is {{particularly}} difficult for older drivers. This task requires accurate coordination of multiple driving subtasks, placing high demands on perception, attention and motor control that are known to decline with age. We analyzed intersection negotiation behavior in an instrumented vehicle and found striking differences in how drivers of different ages <b>synchronize</b> <b>speed</b> and heading control when turning right. The older drivers performed most of their steering while standing still instead of while accelerating as younger drivers do. This shift from parallel to serial control is a compensatory solution that drivers employ in response to age related decline in perception, cognition, and motor control abilities. Serialization of turning at an intersection reduces attentional demands largely by eliminating the need to switch attention between different driving sub-tasks...|$|R
