1|70|Public
50|$|Gearbox: 8x2 <b>speed,</b> <b>locking</b> {{transaxle}} differential.|$|E
5000|$|Model 52B, [...] "Improved" [...] <b>Speed</b> <b>Lock</b> (1937): Laudensack {{replaced}} the original left-mounted wing safety {{with a more}} convenient sliding-plate safety {{on the right side}} of the receiver. The 52B design also raised the left receiver wall abreast the magazine higher than the right, whereas on earlier versions both sides were flush with the loading platform. Laudensack also modified the <b>Speed</b> <b>Lock</b> mechanism, including the addition of an adjustable trigger-return spring and a sprung sear-disengagement plunger. Unfortunately this revised <b>Speed</b> <b>Lock</b> proved immediately unpopular, most shooters considering it to have excessive vibration and creep compared to the original—-- as well as to the [...] "Miracle Trigger" [...] of the new Remington 37, the 52's first serious American competitor.|$|R
5000|$|Evolving by the {{pressure}} of industrial competition from other manufacturers such as Studebaker's three <b>speed</b> <b>lock</b> up torque converter co-designed by Detroit Gear (a division of Borg-Warner), named DG 200/250, and Packard's dual range two <b>speed</b> <b>lock</b> up torque converter coupled Ultramatic, GM's Hydra-Matic underwent several revisions through 1955, before being gradually replaced by the substantially redesigned Controlled Coupling HydraMatic (also called Jetaway by Oldsmobile and StratoFlight, and later Super HydraMatic by Pontiac or 315 HydraMatic by Cadillac or dual-coupling Hydra-Matic) in 1956.|$|R
5000|$|<b>Speed</b> <b>Lock</b> (1930): Frank Burton {{replaced}} Johnson's military-style compound-motion trigger, {{hung from}} the sear, with a new trigger with a low pivot and rear sear notch, reducing trigger travel by 75% and providing for set-screw pull-weight adjustment. In addition, Burton redesigned the firing pin so as to reduce its travel from approximately [...]5" [...] (12mm) to [...]125" [...] (3mm): all of {{which resulted in a}} much faster lock time and greater accuracy. At this time the original model's knurled cocking-piece disappeared, replaced by a short trapezoidal boss. This and all subsequent M52 actions cocked on opening, like a Mauser. Burton carefully designed the <b>Speed</b> <b>Lock</b> to fit the existing receiver and bolt body without modification. Winchester for some years offered a conversion kit for older [...] "slowlock" [...] 52s.|$|R
5000|$|The Dash 8-32BWH {{operates}} in a diesel-electric configuration that uses DC {{to power the}} traction motors, producing [...] at 1047 rpm. When providing head end power to the train, the engine is <b>speed</b> <b>locked</b> to 900 rpm. Power output to the traction motors is [...] when running in HEP mode with a 0 kW HEP load. Traction horsepower decreases to a bare minimum of [...] when providing the maximum [...] HEP load to the train.|$|R
5000|$|AC-3 - Starting of {{squirrel-cage}} {{motors and}} switching-off {{only after the}} motor is up to <b>speed.</b> (Make <b>Locked</b> Rotor Amps (LRA), Break Full Load Amps (FLA)) ...|$|R
50|$|In many applications, the locomotive's {{prime mover}} {{provides}} both propulsion and head-end power. If the HEP generator {{is driven by}} the engine then it must run at a constant speed (RPM) to maintain the required 50 Hz or 60 Hz AC line frequency. It should be noted that an engineer will not have to keep the throttle in a higher run position, as the onboard electronics <b>speed</b> <b>lock</b> the engine for HEP, the throttle then controlling power output by varying the traction generator excitation voltage.|$|R
5000|$|Cop {{pulls over}} <b>speeding</b> driver, <b>locks</b> his keys in his car, and asks the guy he pulls over {{to give him}} a ride to the Police Station.|$|R
5000|$|Wearing his grandfather's costume, an aged Bart reappeared in Tokyo {{just in time}} {{to fight}} {{alongside}} Superman and many other heroes in the Battle of Metropolis, unleashing his anger against Superboy-Prime for killing Conner Kent and so forcing the villain to retreat from battle. When the crisis was over, Bart explained to Jay where he had been and how the Speed Force was destroyed. Having used up the residual <b>speed</b> <b>locked</b> in his body in the fight for Metropolis, Bart gives Barry's costume to Jay proclaiming him [...] "the fastest man alive".|$|R
5000|$|Model 52A (1935, not so marked until 1936): It {{had been}} {{observed}} that the safety pivot stem was prone to bending, and would then put sideways pressure on the bolt which could cause the relatively thin metal behind the left locking lug to crack. Therefore, the safety stem was shortened by [...]08 inches, eliminating the bending problem and allowing the left rear receiver wall to be made thicker. Having two slightly different safeties and receiver forgings resulted in some confusion on the assembly line, so beginning in June 1936 the modified receivers were stamped with xxxxxA serial numbers. There was otherwise no difference from the [...] "pre-A" [...] <b>Speed</b> <b>Locks.</b>|$|R
40|$|We {{perform a}} computationl study of front speeds of G-equation models in time {{dependent}} cellular flows. The G-equations arise in premixed turbulent combustion, and are Hamilton-Jacobi type level set partial differential equations (PDEs). The curvature-strain G equations are also non-convex with degenerate diffusion. The computation {{is based on}} monotone finite difference discretization and weighted essentially nonoscillatory (WENO) methods. We found that the large time front <b>speeds</b> <b>lock</b> into the frequency of time periodic cellular flows in curvature-strain G-equations similar to what occurs in the basic inviscid G-equation. However, such frequency locking phenomenon disappears in viscous G-equation, and in the inviscid G-equation if time periodic oscillation of the cellular flow is replaced by time stochastic oscillation...|$|R
