1|76|Public
5000|$|... 1999 Good Design Award at the Chicago Athenaeum Museum - <b>Slip</b> <b>Shoe</b> Horn ...|$|E
60|$|At length {{the man of}} {{the house}} came to the door. He had on his breeches, or drawers, and a yellow flannel waistcoat, no stockings, a pair of <b>slip</b> <b>shoes,</b> a white cap on his head, and, as the young man said, death in his face.|$|R
60|$|Dan <b>slipped</b> off his <b>shoes.</b> 'When we {{get home}} I shall sit in the woods all day,' he said.|$|R
60|$|She <b>slipped</b> on her <b>shoes</b> and a shawl, {{and came}} back where he was working, and took a seat on a sawhorse.|$|R
5000|$|School dance - modern {{incarnation}} of sock hops, shoes typically being mandatory for safety purposes (to avoid <b>slipping</b> and falling, <b>shoe</b> theft, etc.) ...|$|R
40|$|Photograph {{used for}} {{a story in the}} Oklahoma Times newspaper. Caption: "Borowing an idea from the racing game, in which a {{thoroughbred}} always is reshod with new and light shoes for a race, coach Bill Haller (kneeling above) of the Capitol Hill basketball team, <b>slips</b> new <b>shoes</b> on his ace scorer, Chester Bryan. ...|$|R
60|$|Climbing a ridge on a snow {{crust is}} no child's play, as Walter soon found out. It {{sometimes}} {{seemed as if}} he slipped back two feet for every one he gained. He tried taking off the shoes, {{only to find that}} in sheltered places he broke through and was worse off than on the <b>slipping</b> <b>shoes.</b> But he was grimly resolved that he would get {{to the top of the}} ridge, cost him what it might. It was characteristic of the boy that what he set out to do he did. So he ground his teeth and kept at it, slipping, scrambling, pulling himself up by brush and trees. After a little he discovered that by zigzagging back and forth along the face of the slope and taking advantage of every little inequality he could make fairly good progress.|$|R
60|$|Lida, {{recovering}} her wits, snatched at the offered gift, with a sparkle in her dull eyes. Sure {{she would}} put them on, and that mighty quick, before any one appeared with authority to recall them. In a minute she had pulled the stockings over her scrawny little legs and <b>slipped</b> Faith's <b>shoes</b> over her thick little ankles.|$|R
6000|$|... "Well, you see it's {{such a good}} {{lesson to}} me! I had <b>slipped</b> off my <b>shoes</b> when I was lying down, and I couldn't get away, he came in so suddenly." ...|$|R
6000|$|... "Come on {{and listen}} to what happens," [...] said Andy, and presently, having <b>slipped</b> off their <b>shoes,</b> he and the others {{followed}} Walt down the corridor, but kept well in the background.|$|R
6000|$|... "Never mind, I can undress in the dark. I'm used to it." [...] She {{loosened}} {{the collar}} of her dress, <b>slipped</b> off her <b>shoes,</b> {{and lay down on}} the bed bitter and rebellious.|$|R
25|$|During Life on Mars, Hunt often wore a beige camel {{coat with}} {{a white shirt and}} tie, grey suit and {{trousers}} with white <b>slip</b> on <b>shoes,</b> typical of the period. His top shirt button is always undone and his tie always hangs halfway down his chest in an untidy, disheveled fashion. In Ashes to Ashes, he is often seen wearing a black suit, striped tie, Crombie coat and snakeskin boots.|$|R
60|$|Waiting {{about twenty}} minutes after the last man of the {{previous}} watch had gone below, I motioned to Jarl, and we <b>slipped</b> our <b>shoes</b> from our feet. He then descended into the forecastle, and I sauntered aft toward the quarter-deck. All was still. Thrice did I pass my hand full before {{the face of the}} slumbering lubber at the helm, and right between him and the light of the binnacle.|$|R
60|$|He <b>slipped</b> on his <b>shoes</b> {{and went}} outside. Just landing {{from one of}} the Valhalla's boats was the third mate of that vessel, who was an {{acquaintance}} of Simon's, and three sailors from the fruiter.|$|R
60|$|By {{this time}} Mr. Wadsworth had appeared, in a bath-robe, and Dunston Porter also showed himself. Dave <b>slipped</b> on his <b>shoe</b> again and fairly {{threw himself into}} his coat, and Roger also rearranged his toilet.|$|R
25|$|Galoshes, {{also known}} as dickersons, gumshoes, or overshoes, are a type of rubber boot that is <b>slipped</b> over <b>shoes</b> {{to keep them from}} getting muddy or wet. In the United States, the word galoshes may be used interchangeably with boot, {{especially}} a rubberized boot. In the United Kingdom, however, a galosh is an overshoe made of a weatherproof material to protect a more vulnerable shoe underneath and keep the foot warm and dry.|$|R
6000|$|... 'Oho, {{art thou}} there, lickspittle of the English? Go in to-morrow across the Border to pay service to Orde Sahib's successor, and thou shalt <b>slip</b> thy <b>shoes</b> at the tent-door of a Bengali, as thou shalt hand thy {{offering}} to a Bengali's black fist. This I know; {{and in my}} youth, when a young man spoke evil to a Mullah holding the doors of Heaven and Hell, the gun-butt was not rammed down the Mullah's gullet. No!' ...|$|R
6000|$|... "Never mind those hotels now!" [...] cried Dave, as he <b>slipped</b> off one <b>shoe</b> after another. [...] "It's get to bed now and {{an early}} start {{in the morning to}} see if we can't catch Blower, Haskers, and--Morr!" [...] and he grinned.|$|R
60|$|It was {{not without}} great fear and {{trepidation}} that little Nell <b>slipped</b> off her <b>shoes</b> and gliding through the store-room of old curiosities, where Mr Brass--the ugliest piece of goods in all the stock--lay sleeping on a mattress, passed into her own little chamber.|$|R
60|$|The more Dave thought {{over the}} affair the more was he puzzled. As {{quickly as he}} could, he put on some of his {{clothing}} and <b>slipped</b> on his <b>shoes.</b> Then he opened the stateroom door and {{stepped out into the}} passageway leading to the main saloon.|$|R
5000|$|The {{slipperiness}} and smoothness {{of sheer}} pantyhose and stockings also makes women's low cut court <b>shoes</b> <b>slip</b> off more easily. This vulnerability is often sexually attractive, and can often {{result in the}} women engaging in shoe dangling or shoe play which is also greatly appealing to shoe and foot fetishists.|$|R
60|$|Whereupon {{these two}} {{delightful}} imps chuckled and wagged their heads with a sincere enjoyment that this mere world could not give! Johnny <b>slipped</b> off his <b>shoes</b> and stockings and hurriedly {{put them on}} the infant Florry, securing them from falling off with a thick cord. This added to their enjoyment.|$|R
60|$|She {{moved off}} {{slowly toward the}} house. His voice subdued her. Working alone out there had {{rendered}} him savage; he {{was not to be}} pushed any farther. She knew by the tone of his voice that he must not be assaulted. She <b>slipped</b> on her <b>shoes</b> and a shawl, and came back where he was working, and took a seat on a saw-horse.|$|R
60|$|With that I scuttled {{down the}} {{companion}} {{with all the}} noise I could, <b>slipped</b> off my <b>shoes,</b> ran quietly along the sparred gallery, mounted the forecastle ladder, and popped my {{head out of the}} fore companion. I knew he would not expect to see me there, yet I took every precaution possible, and certainly the worst of my suspicions proved too true.|$|R
60|$|Just then Queen Cor, {{angry at}} {{being made to}} wait for her whip with the seven lashes, rushed into the room to find Inga. Seeing the boy sitting upon the floor beside Zella, the woman sprang toward him to beat him with her clenched fists; but Inga had now <b>slipped</b> on the <b>shoe</b> and the Queen's blows could not reach his body.|$|R
60|$|During {{the fight}} the Romans had, several times, nearly {{penetrated}} into the Temple. Indeed, a centurion named Julian--a {{man of great}} strength, courage, and skill at arms--had charged the Jews with such fury {{that he had made}} his way, alone, as far as the inner court; when his mailed <b>shoes</b> <b>slipped</b> on the marble pavement, and he fell; and the Jews, rushing back, slew him--after a desperate resistance, to the end.|$|R
