1|104|Public
5000|$|... was a <b>store</b> <b>vessel</b> {{launched}} in 1788 and broken up in 1878 as YC 3.|$|E
50|$|In 1854 {{the ship}} was {{converted}} from a convict hulk into a <b>stores</b> <b>vessel</b> and anchored on the Yarra River, where she remained for the next 36 years.|$|R
50|$|In total {{there are}} forty {{different}} programs, including Boston' Emergency Medical Services and Homeless Shelters.Boston Board of HealthCould inspect <b>stores,</b> <b>vessels,</b> factories, and houses for health hazards.Had {{the power to}} levy fines and require the offender to remove a hazard at his own expense.Safety of workers {{generally considered to be}} their own responsibility, not that of the employer.Insurance carriers covered property, not people.|$|R
50|$|At 19:30 local time, S-178 {{received}} {{permission to}} save time by entering Golden Horn Bay, in downtown Vladivostok, through a combat training range. The port officer who granted that permission had just assumed the watch, and was unaware that the off-going watch officer had granted similar permission to the refrigerated <b>stores</b> <b>vessel</b> RFS Refrizherator-13 to leave Golden Horn Bay through the combat training range.|$|R
50|$|To this end, Louis XIV had {{dispatched}} the French fleet under Tourville, {{his most}} able commander, {{to set an}} ambush for the convoy before it entered the Straits of Gibraltar. By the end of May, Tourville had assembled a fleet of 70 ships of the line, plus fireships, <b>stores</b> <b>vessels</b> and other auxiliaries, about 100 sail in total; and taken up station near Lagos Bay in Portugal.|$|R
50|$|During World War II, the Royal Australian Navy requisitioned Falie, {{renaming}} her HMAS Falie. Initially she {{was used}} as an inspection vessel. On the night of 31 May, she was acting as a watchdog outside Sydney Harbour when she struck a Japanese midget submarine trying to infiltrate the harbour. Falie was converted in 1943 to a <b>stores</b> <b>vessel,</b> and was deployed to Papua New Guinea, where she saw action landing troops in enemy territory by night.|$|R
50|$|Few facts exist {{concerning}} Susan Ann Howard, a center-board schooner {{purchased by}} the Union Navy from the New York City Prize Court on 19 May 1863. Usually referred to as Susan A. Howard, the ship was listed on 5 June 1864 {{as one of a}} group of schooners serving on the sounds of North Carolina, presumably at New Bern, North Carolina, as ordnance and <b>store</b> <b>vessels.</b> On 7 July, she was at New Bern serving as an ordnance boat. On 7 September, she was listed as a hulk and serving as a coal schooner.|$|R
5000|$|The Inspector, engineer, {{electric}} {{light and}} defence <b>vessels</b> <b>stores,</b> graded as Ordnance officer, third class.|$|R
500|$|The amphibious {{and supply}} {{arm of the}} RAN is made up of; one [...] landing platform, one heavy landing ship (...) , six [...] landing craft, two s, four es, the fleet oiler , and the Dual <b>Stores</b> Replenishment <b>Vessel</b> [...] The RAN also has six s.|$|R
50|$|One {{system which}} was being {{developed}} by the now bankrupt UK company Isentropic operates as follows. It comprises two insulated containers filled with crushed rock or gravel; a hot <b>vessel</b> <b>storing</b> thermal energy at high temperature and high pressure, and a cold <b>vessel</b> <b>storing</b> thermal energy at low temperature and low pressure. The vessels are connected at top and bottom by pipes and the whole system {{is filled with the}} inert gas argon.|$|R
5000|$|The Dendera {{necropolis}} is {{a series}} of mastaba tombs. The necropolis dates from the Early Dynastic Period of the Old Kingdom to the First Intermediate Period of Egypt. The necropolis runs {{the eastern edge of the}} western hill and over the northern plain. The subterranean Hathor temple tombs total 12 chambers. Some reliefs are dated to as late as the Ptolemy XII Neos Dionysos reign. The crypts reportedly were used for <b>storing</b> <b>vessels</b> and divine iconography. An opening in the [...] "Flame Room" [...] floor leads to a narrow chamber with representations on the walls of the objects which were kept in them. In the second chamber, a relief depicts Pepi I. He offers a statuette of the god Ihy to four images of Hathor. In the crypt, reached from the [...] "throne room", Ptolemy XII has jewelry and offerings for the gods.|$|R
