1|119|Public
5000|$|... #Caption: Power station (in the masonry), Stilling {{basin and}} <b>sliding</b> <b>housing.</b>|$|E
40|$|Penny {{postcard}} {{image of}} the San Buenaventura Courthouse designed by Albert C. Martin and built in 1912. The building currently functions as City Hall. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
50|$|Fairground {{rides and}} games are {{operated}} at the show, including child rides and adult rides, including the Zipper, Fun <b>Slide,</b> <b>House</b> of Mirrors, and trucks that go {{around on a}} track. Tickets and wristbands are sold to the rides and the games. The rides are provided by Butler Amusements.|$|R
40|$|Before the {{railroad}} was completed up into Ojai, {{patrons of the}} Matilija Hot Springs were reliant of the Matilija Hot Springs Stagecoach as transportation from Ventura. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{image of}} Main Street in Santa Paula, CA ca. 1914. The town clock on Old Fellows Hall is {{visible on the}} front right portion of the image. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|This penny {{postcard}} image can be dated {{prior to}} 1908, {{as at the}} end of that year Main Street had been paved and the famed streetcar tracks covered forever. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|A Reeve's stream tractor pulls a grain separator, bunk wagon, derrick, and {{a string}} of header beds over the rolling grain fields near present Moorpark Road in this penny {{postcard}} image. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{image of}} the Oak Glenn Cottages. No firm date {{for the start of}} the establishment could be found but newspaper accounts, in 1875, stated that it was being enlarged. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Image of the {{postcard}} depicts "the plunge" at the Sulfur Mountain Hot Springs in Ventura County, CA. The Sulfur Mountain Hot Springs {{is on the}} eastern end of the Ojai Valley. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|This penny {{postcard}} {{depicts the}} Sugar Beet Factory built in 1899 by the Oxnard Brothers, from whom {{the city of}} Oxnard would be named. The factory operated from 1899 to 1959. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|The {{image of}} the plaza and pagoda in {{downtown}} Oxnard became a popular image for penny postcards. This particular image provides {{a view from the}} top of the Oxnard Hotel. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{image of}} the E. P. Foster Public Library in Ventura, CA, as it stood from 1921 to 1959, when new construction extended the library over the lawn to Main Street. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} of {{the newly}} constructed high school in Santa Paula, CA ca. 1914 The building would be demolished and rebuilt twenty five years later as it was deemed unsafe for earthquakes. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny postcards were {{introduced}} in the United States in 1873, by Post Master John Creswell. This postcard is of a young senorita strumming a guitar on the south portico of Rancho Camulos. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Prior to 1934, {{the only}} route up to Wheeler Hot Springs above Ojai was this road via stagecoach. In 1934 U. S. Route 399 was built {{only to be}} {{replaced}} by U. S Route 33 in 1964. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny postcards were {{introduced}} in the United States in 1873, by Post Master John Creswell. This postcard is of the Pierpont Inn, located on Sanjon Road in Ventura, CA. The hotel opened for business in September 1910. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny postcards were {{introduced}} in the United States in 1873, by Post Master John Creswell. This postcard of Anacapa Island was most likely produced and colored in Germany from a print sent from original photographer. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|This {{image is}} {{of one of}} the two horse drawn streetcars which ran up and down Main Street in Ventura, CA until 1908. On Halloween of 1908 the two streetcars where pushed into the Pacific Ocean. Image {{digitized}} by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|The Arnaz Adobe Ranch House, {{located in}} what is now Oak View, CA, was at one time {{referred}} to as "The Halfway House" due to its location as the halfway point between Ventura and Ojai. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|The penny {{postcard}} of the landmark, Port Hueneme Lighthouse {{was distributed}} near {{the turn of}} the twentieth century. The lighthouse was active for nearly three quarters of a century, used for the first time December 15, 1874. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|The {{image of}} this penny {{postcard}} depicts the Berylwood Mansion, built by Thomas R. Bard in 1911. Bard was California Senator from 1900 - 1905 and {{is regarded as}} the father of Port Hueneme. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
30|$|The {{specimen}} and <b>slides</b> are <b>housed</b> in the Palaeontological Museum of Liaoning, Shenyang, China.|$|R
40|$|Penny {{postcard}} {{image of}} grain wagons {{from all over}} Ventura County lined up to unload their barley at the Hueneme warehouses at Bard's Wharf in Port Hueneme, CA. The 1500 foot wharf was constructed in 1872 by Thomas R. Bard. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{image of}} Ojai, {{as it was}} rebuilt after the fire that destroyed the hamlet known as Nordoff, in 1917. The image shows the arcade {{on the left and}} the belltower, with Libbey Park beyond it, on the right. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{of one of}} {{the early}} lemon packing houses for the Limoniera Company. The Limoneira Company was founded by N. W. Blanchard, W. L. Hardison, C. M. McKevett, A. J. Hardison and C. C. Teague in 1893. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|In {{this image}} of Santa Paula in 1888, the Presbyterian Church and the false fronted {{building}} of the town's newly opened bank. This image is {{one half of the}} original photograph. Other half is represented within the Penny Postcard collection. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|At {{the end of}} {{the nineteenth}} and the early decades of the twentieth century {{visitors}} would visit the Chautauqua Encampment annually for a week of summer activities. This image is representative of what is now Ventura Beach State Park at Pierpont Bay. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|This {{postcard}} {{depicts the}} Sulfur Mountain Hot Springs in Ventura County, CA. The hot springs were {{located on the}} eastern end of the Ojai Valley. Sulfur Mountain Hot Springs included a bowling alley, dance hall and overnight cottages as part of their accommodations. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Probably no {{postcard}} {{of the era}} had a wider circulation {{than this}} one of the Davis & Drown Livery Stables in Santa Paula. It had several printings, only one of which is now rare. This particular card stated "the buildings were constructed in 1300 B. C. and torn down in 1913 A. D. "Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny {{postcard}} {{image of}} the Santa Paula, CA in 1888. The two-story building in the foreground is Cleveland's Hall, the local dance hall. This image is {{one half of the}} original photograph, though both are represented within the Penny Postcard collection with the title "Penny Postcard of Santa Paula, CA 1888 ". Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|Penny postcards were {{introduced}} in the United States in 1873, by Post Master John Creswell. This postcard is of the old Fernando Tico Adobe which was located on {{the northwest corner of}} Ventura Avenue and Main Street in San Buenaventura, CA. Fernando Tico was buried in the San Buenaventura Mission cemetery in 1849. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
40|$|By 1890, a {{feasible}} {{machine to}} thresh lima beans had been perfected and one such machine {{is represented in}} this penny postcard image. Ventura County became the greatest producer of lima beans in the early {{half of the twentieth}} century, at one time supplying three-fifths of all the world's production. Image digitized by Broome Library, California State University Channel Islands. Original 35 mm <b>slide</b> <b>housed</b> at E. P. Foster Library, Ventura, California...|$|R
