1|32|Public
5000|$|... #Caption: Partially <b>stripped</b> <b>cable</b> {{showing the}} twisted pairs.|$|E
5000|$|The unique {{ribbon cable}} was {{replaced}} with regular Spectra <b>Strip</b> <b>cable.</b>|$|R
50|$|More recently, {{flexible}} PVDF fluoropolymer piezo {{film has}} been developed in tabs, <b>strips,</b> <b>cables,</b> and large sheets. Piezo cable is often used buried under roads as traffic sensors.|$|R
5000|$|... #Caption: Basic French/Belgian power <b>strip</b> (power <b>cable</b> not shown) ...|$|R
50|$|With {{a design}} concept {{similar to the}} Chinese finger trap, the {{invention}} contains an electrically-conductive spiral that, once the connector is twisted, is able to “grip” <b>stripped</b> wires, <b>cables</b> and other elongated elements and securely connect them.|$|R
50|$|In Italy, CEI 23-50 is the {{dominant}} standard and it includes also Schuko sockets (P 30 = CEE 7/3) and plugs (S 30 = CEE 7/4, S 31 = CEE 7/7, S 32 = CEE 7/17). Appliances are commonly sold with Schuko-type plugs (as well as Europlugs), while Italian-type plugs have become rare today and almost only power <b>strips,</b> <b>cable</b> reels and adaptors are sold with them. Some sockets (P 30 and P 40) accept both types, the remainder accepting one or the other. Schuko sockets are most commonly used for larger-rated appliances such as washing machines, and are particularly common in South Tyrol, with its cultural, economic and tourist connections with Austria.|$|R
40|$|The Finite Strip Method (FSM) {{is one of}} {{the most}} {{efficient}} methods for structural analysis of bridges, reducing the time required for analysis without affecting the degree of accuracy. The Finite strip method is therefore an ideal platform for the traditional time-consuming dynamic analysis of long span bridges. The dynamic behavior of a continuous long span bridge significantly depends on the properties of all the bridge structural components. However, the current practice of using the finite strip method is limited to the analysis of the bridge deck subjected to simulated boundary conditions over the supports. The interactions between different bridge structures cannot be modeled using conventional methods. In this regard, this study introduces an integrated analytical solution for continuous long span bridges by modeling all the bridge components together, using the spline finite strip method. The Column Strips are developed to model the cantilever-behaved piers and towers, and <b>Cable</b> <b>Strip</b> is developed for the cables in long span bridges. In addition, a special Transition Section is developed to combine different structures in the finite strip environment. By representing the whole bridge as a single integrated system, the actual dynamic behavior of the bridge can be studied using the conventional dynamic analysis method. Moreover, by using the Pseudo Excitation Method (PEM), which is a fast complete quadratic combination algorithm using power spectral density matrix for random responses, the dynamic analysis of a complicated continuous long span structure can be performed in minimal time. In the study, the development of the Column <b>Strips,</b> <b>Cable</b> <b>Strip</b> and the Transition Section are presented, and the application of the time-history analysis method and PEM in the finite strip environment is introduced. Furthermore, three numerical examples are shown to demonstrate the accuracy and the efficiency of the proposed solution...|$|R
50|$|Branding and {{corporate}} divisions include the Rush Eraser, Power Brush wire wheels, Glo-Ring infrared tools, Lux Therm infrared lamps, Remarcable coaxial <b>cable</b> <b>stripping</b> tools, and Wybar component lead forming (now obsolete).|$|R
5000|$|... #Caption: Close-up of {{fibre optic}} <b>cable</b> <b>stripped</b> back {{to show the}} six layers of {{construction}} - the fibre at the centre surrounded by the core, a buffer layer, wound steel armour, Kevlar strands, and the PVC jacket ...|$|R
50|$|Items like a rope, string, wire (e.g. metal wire, {{possibly}} {{coated with}} plastic, or multiple parallel wires kept {{together by a}} plastic <b>strip</b> coating), <b>cable,</b> chain, or plastic wrap {{may be used to}} mechanically join objects; but are not generally categorized as fasteners because they have additional common uses. Likewise, hinges and springs may join objects together, but are ordinarily not considered fasteners because their primary purpose is to allow articulation rather than rigid affixment.|$|R
50|$|The Eraser Company was {{incorporated}} in 1935 Until the 1940s, the Rush eraser {{was the only}} product manufactured by The Eraser Company. It was used for typing and drafting corrections on printed material. Expansion followed the company's discovery that the product would also remove film insulation from magnet wires. Since then, the company developed its capabilities beyond magnet wire <b>stripping</b> into <b>cable,</b> wire and tube processing (stripping, feeding, cutting, twisting, measuring, dereeling) equipment, and infrared heating devices.|$|R
50|$|As a tool {{designer}} and manufacture. Warren and Brown were approached by Telecom Australia (Telstra) {{to design and}} produce coax <b>cable</b> <b>stripping</b> tools. This {{has led to the}} development of many other tools for Telstra and other major companies and has provided a vehicle for Warren and Brown to enter the telecommunications industry with their widely accepted Optic Fibre Management System.|$|R
50|$|Products {{using this}} {{technology}} directly are automotive seatbelt springs, large power transformer winding <b>strips,</b> rotogravure plates, <b>cable</b> and hose clamps, gas tank straps, and window counterbalance springs. Products using the process indirectly are tubes and pipe mills where {{the edge of}} the strip is accurately beveled prior to being folded into tubular form and seam welded. The finished edges enable pinhole free welds.|$|R
40|$|In this paper, we {{describe}} {{the performance of the}} readout system for MONOLITH developed at the LNGS. This system is based on the use of flat cables as readout elements, instead of the conventional copper strips. The advantages of flat <b>cable</b> <b>strips</b> are the good performance, the easy installation and the possibility to realize complex readout systems. The X-coordinate readout system (X-system) is composed by 15 m long, Flat <b>Cable</b> <b>Strips</b> (FCS). The distribution of the time difference between the streamer signals transmitted at both the ends of the X-system FCS has a sigma resolution of the order of 100 ps: This resolution allows the measurement of the particle direction by means of the time-of-flight technique and can be exploited to measure the Y-coordinate with a resolution in the order of 1 cm: The Y-coordinate system is composed by short FCS connected together by a flat cable acting as a bus line. It allows the installation of the electronics outside the apparatus minimizing the number of channels...|$|R
5000|$|With {{computers}} more prevalent, [...] "computer paper" [...] {{became an}} office supply. The {{beginning of this}} paper boom {{gave birth to the}} dream of the [...] "paperless office", in which all information would only appear on computer monitors. However, the ease of printing personal documents and the lack of comfort with reading text on computer monitors led to a great deal of document printing. The need for paperwork space vied with the increased desk space taken up by computer monitors, CPUs, printers, scanners, and other peripherals. The need for more space led some desk companies to attach some accessory items to the modesty panel {{at the back of the}} desk, such as outlet <b>strips</b> and <b>cable</b> management, in an attempt to clear the desktop of electrical clutter.|$|R
30|$|This {{dipole antenna}} {{is made up}} of a {{hardline}} coax <b>cable,</b> <b>stripped</b> of its outside copper layer to expose the inner pin and soldered four copper wire legs on it. The length of the inner pin and the legs is 5.5  cm and the bending angle is 45 °. A network analyzer was used to tune the design, locating the null of |S 11 | (S 11 is the complex reflection coefficient of one-port network) at the L 2 frequency by adjusting the length of pin and the bending angles of the four legs.|$|R
5|$|Several {{species of}} {{cockatoo}} can be serious agricultural pests. They are sometimes controlled by shooting, poisoning or capture followed by gassing. Non-lethal damage mitigation methods used include scaring, habitat manipulation {{and the provision}} of decoy food dumps or sacrifice crops to distract them from the main crop. They can be a nuisance in urban areas due to destruction of property. They maintain their bills in the wild by chewing on wood but, in suburbia, they may chew outdoor furniture, door and window frames; soft decorative timbers such as western red cedar are readily demolished. Birds may also target external wiring and fixtures such as solar water heaters, television antennae and satellite dishes. A business in central Melbourne suffered as sulphur-crested cockatoos repeatedly stripped the silicone sealant from the plate glass windows. Galahs and red-tailed black cockatoos have <b>stripped</b> electrical <b>cabling</b> in rural areas and tarpaulin is targeted elsewhere. Outside Australia, the Tanimbar corella is a pest on Yamdena Island where it raids maize crops.|$|R
40|$|The OPERA {{experiment}} foresees the use {{of about}} 3000 m(2) of RPCs, that will be tested before the installation in a dedicated cosmic ray test facility. The test facility is composed of 2 triggering walls selecting horizontal cosmic rays muons. Each wall houses 64 glass RPCs equipped with 128 horizontal Flat <b>Cable</b> <b>Strips.</b> The z-coordinate is measured with a standard digital chain, while the x-coordinate is obtained by measuring the propagation time of the signals along the strips. In this paper {{the performance of the}} trigger walls and the first results of the RPC debug are presented...|$|R
40|$|This report {{summarizes}} the conceptualization {{and development of}} an automated machine designed for a fiber optic <b>cable</b> <b>stripping</b> process used by Lumentum LLC. This process is currently manually operated by Lumentum’s technicians and involves unavoidable handling of corrosive chemicals. To increase technician safety, the process will be automated to reduce chemical - operator interactions. Improving safety conditions for technicians is the primary motivation for automating this process. Automation will also decrease process variation and increase product quality. GLOWS CO was tasked with creating this automated solution, leading {{to the design of}} the Automatic Chemical Etching Machine (or A-CHEM) for the fiber etching process for Lumentum LLC. At the conclusion of this project, the A-CHEM successfully fulfilled all of the requirements set out by Lumentum, namely improving technician safety and making the process more ergonomic...|$|R
50|$|Plastic restraints, {{known as}} wrist ties, riot cuffs, plasticuffs, flexicuffs, flex-cuffs, tri-fold cuffs, zapstraps, zipcuffs, or zip-strips, are lightweight, {{disposable}} plastic <b>strips</b> resembling electrical <b>cable</b> ties. They {{can be carried}} in large quantities by soldiers and police and are therefore well-suited for situations where many may be needed, such as during large-scale protests and riots. In recent years, airlines have begun to carry plastic handcuffs {{as a way to}} restrain disruptive passengers. Disposable restraints could be considered to be cost-inefficient; they cannot be loosened, and must be cut off to permit a restrained subject to be fingerprinted, or to attend to bodily functions. It is not unheard of for a single subject to receive five or more sets of disposable restraints in his or her first few hours in custody.|$|R
50|$|The process {{involves}} {{moving the}} strip past precision-profiled slotted tools made to an exact shape, or past plain cutting tools. The tools are all usually made of tungsten carbide-based compounds. In early machines, {{it was necessary}} to precisely position the strip relative to the cutting tools, but newer machines use a floating suspension technology which enables tools to locate by material contact. This allows mutual initial positioning differences up to approximately 12 mm followed by resilient automatic engagement. Products using this technology directly are automotive seatbelt springs, large power transformer winding <b>strip,</b> rotogravure plates, <b>cable</b> and hose clamps, gas tank straps, and window counterbalance springs. Products using the process indirectly are tubes and pipe mills where the edge of the strip is accurately beveled prior to being folded into tubular form and seam welded. The finished edges enable pinhole free welds.|$|R
