1|94|Public
5000|$|In the UK and South Africa, a <b>standard</b> <b>overhead</b> <b>join</b> is recommended.|$|E
5000|$|... #Caption: The <b>standard</b> <b>overhead</b> view. The party's attack {{strength}} and remaining health {{is shown in}} the gauges at the bottom.|$|R
50|$|Critics {{feel that}} there are some downsides as these {{technologies}} are more prone to failure and have a much steeper learning curve for the user than a <b>standard</b> <b>overhead</b> projector.|$|R
50|$|An <b>overhead</b> <b>join</b> is a {{conventional}} method for an aircraft to approach and safely land at an airfield. It helps a pilot to integrate with any air traffic pattern near an airfield, join any circuit, and land.|$|R
50|$|Alternatives to the <b>overhead</b> <b>join</b> are to {{directly}} join the circuit by entering at a suitable corner, or a straight-in approach. If available, ATC will {{negotiate with the}} pilot {{which is the most}} appropriate method according to the current traffic situation.|$|R
50|$|Spey casting is {{a casting}} {{technique}} used in fly fishing. Spey casting {{can be accomplished}} with either a normal length fly rod, or a rod {{referred to as a}} double-handed fly rod, often called a Spey rod. Spey rods can also be used for <b>standard</b> <b>overhead</b> casting.|$|R
50|$|Aircraft may {{arrive at}} the landing site from any direction, so a safe means of {{integrating}} into existing traffic and aligning with the runway is required. The <b>overhead</b> <b>join</b> is the <b>standard</b> method used in the UK, South Africa and other Commonwealth countries at smaller airports by general aviation aircraft flying under the visual flight rules (VFR), and especially at airfields with no regular radio service.|$|R
50|$|In 1965 {{the scheme}} was {{extended}} to the brand-new Tinsley Marshalling Yard in Sheffield. The locomotive facilities at the Sheffield {{end of the line}} were moved from Darnall to the new Tinsley depot. The overhead line equipment on this section was designed to be easily convertible to 25kV AC electrification, which by now had been accepted as the <b>standard</b> <b>overhead</b> electrification system for BR.|$|R
40|$|One {{solution}} {{to the lack of}} native multicast is CastGate. It makes use of tunneling to transmit data to end hosts. We describe a {{solution to}} improve this technology with the aid of PIM-SM. Further we evaluate the different CastGate based solutions, and compare them to native multicast. Some of the metrics (stress, resource usage, stretch) can be evaluated whilst other metrics (control <b>overhead,</b> <b>join</b> latency) can be determined only through measurement in a real testbed...|$|R
40|$|Projection of one {{drawing on}} another with {{projected}} image adjusted to have same scale as other drawing permits quick comparisons of such features as relative sizes of parts and clearance or interferences in assemblies. Technique uses <b>standard</b> <b>overhead</b> projector and transparency of one drawing to project an enlarged image, {{the scale of}} which matches scale of second drawings. Image may be traced directly onto copy of second drawing...|$|R
50|$|A compact {{overhead}} {{transmission line}} requires a smaller right of way than a <b>standard</b> <b>overhead</b> powerline. Conductors must not {{get too close to}} each other. This can be achieved either by short span lengths and insulating crossbars, or by separating the conductors in the span with insulators. The first type is easier to build as it does not require insulators in the span, which may be difficult to install and to maintain.|$|R
