1|108|Public
60|$|<b>SURGE.</b> <b>Well,</b> {{let us be}} fair, even to the Kaiser. Let us be fair.|$|E
2500|$|This growth until {{recently}} <b>surged</b> <b>well</b> ahead of city services. Homes, roads, electricity, telephone and sewer services {{were all in}} short supply. Analysts trying to grasp {{the magnitude of the}} change coined terms like [...] "hyper-urbanization".|$|R
50|$|As a whole, KX Television {{has long}} trailed NBC North Dakota {{in the ratings}} by a {{significant}} margin; the main stations and their satellites are counted as one station for ratings and regulatory purposes. However, KX News Morning has recently <b>surged</b> <b>well</b> ahead of NBC North Dakota's Country Morning Today—the only time in recent memory that NBC North Dakota has lost consecutive ratings periods in any time slot.|$|R
50|$|As a whole, KX Television {{has long}} trailed NBC North Dakota {{in the ratings}} by a {{significant}} margin; the main stations and their satellites are counted as one station for ratings and regulatory purposes. However, KXMC has historically been well ahead of KMOT in the ratings for {{the northern part of}} the market. This is largely because it is the only station airing a full schedule of local news for {{the northern part of the}} market. Also, KX News Morning has recently <b>surged</b> <b>well</b> ahead of NBC North Dakota's Country Morning Today—the first time in recent memory that NBC North Dakota has lost consecutive ratings periods in any time slot.|$|R
5000|$|Released by Interscope Records in late 1991, The Storm hit {{the album}} charts and the band's first single, [...] "I’ve Got A Lot To Learn About Love" [...] <b>surged</b> <b>well</b> into the Top 40 of the Billboard Hot 100. Faring even better at Mainstream Rock radio, the single peaked at #6 on the {{national}} Billboard charts, and its follow-up, [...] "Show Me The Way" [...] went to #22. That spring, the band went on a major US tour in support of Bryan Adams, then at his commercial peak, and playing arenas, moving on to open for Peter Frampton, {{as well as several}} headlining dates.|$|R
50|$|As a whole, KX Television {{has long}} trailed NBC North Dakota {{in the ratings}} by a {{significant}} margin; the main stations and their satellites are counted as one station for ratings and regulatory purposes. However, KXMC has historically been well ahead of KMOT in the ratings for {{the northern part of}} the market. This was largely because it was the only station airing a full schedule of local news for {{the northern part of the}} market. Since Nexstar's acquisition, KXMC no longer produces a full local newscast originating from Minot. Also, KX News Morning has recently <b>surged</b> <b>well</b> ahead of NBC North Dakota's Country Morning Today—the first time in recent memory that NBC North Dakota has lost consecutive ratings periods in any time slot.|$|R
50|$|Tightly {{linked to}} {{regulatory}} {{risk in the}} global and domestic marketplaces, climate risk preparedness will be a key driver in a company’s ability to compete. General Electric, for example, sees huge growth opportunities from its many new climate-friendly product lines, such as wind turbines, high efficiency gas turbines, IGCC power plants and hybrid diesel-electric locomotives. Ford and General Motors are currently engaged in a high-stakes struggle to remain competitive as customers turn away from gas-guzzling SUVs in favor of hybrids and other lower-emitting vehicles from Japanese competitors. In China, auto sales are <b>surging</b> <b>well</b> beyond growth rates that the U.S. market has seen in recent decades. Yet, {{less than a quarter}} of current U.S. passenger cars and light-duty trucks can meet China’s 2008 emission standards.|$|R
5000|$|The [...] "Three Sentinels" [...] of {{the title}} are three deep, <b>surging</b> oil <b>wells</b> perched on a barren ridge of the Andes. The story {{involves}} two honorable and strong-willed men who must confront themselves, the sociology of native communities {{and the politics of}} corporations and South America.|$|R
50|$|Steele {{along with}} Ananzi {{trained at the}} Houston-based PWA run by {{multiple}} world champion Booker T, Steele and Ananzi created a tag team and entered the PWA tag team champion ships, matched against Gabe Hollier and Surfin <b>Surge</b> as <b>well</b> as the Trumps established the pair as a heal faction.|$|R
50|$|She {{assisted}} New X-Men Hellion and <b>Surge</b> as <b>well</b> as O*N*E Sentinel operative (and former mutant) Lex {{in finding}} students that were kidnapped by Belasco. The students were saved due to Illyana Rasputin usurping control of Limbo. Once the heroes were teleported back to Xavier's school though, Amanda found Limbo {{to be sealed}} off.|$|R
50|$|Zuckermann's {{successful}} {{career as a}} seller of build-it-yourself harpsichord kits had been facilitated by a surge of public interest in music of the Baroque and classical periods. The festival was founded in 1963 by Zuckermann together with his colleague Eric Britton {{in response to this}} <b>surge,</b> as <b>well</b> as to rising interest in chamber music and related art forms.|$|R
2500|$|What is {{now known}} as Old San Juan {{occupied}} the western end of a rocky islet, the Isleta de San Juan, at the mouth of San Juan Bay. During the 20th century, the main population centers <b>surged</b> <b>well</b> beyond the walls of the old city and onto Puerto Rico's main island, and merged with the existing settlements east and south of Old San Juan. With the annexation of Río Piedras in 1951, the municipality of San Juan grew four times its previous size. As a result, the city is now composed of a variety of districts and neighborhoods. San Juan is now subdivided into 18 districts (barrios), 16 of which fall within the former municipality of Río Piedras. Eight districts are further subdivided into sectors (sub-barrios), including two districts in the area that covered the original municipality of San Juan. The 18 districts are: ...|$|R
500|$|During Beni's existence, {{parts of}} the Solomon Islands, Vanuatu, and Queensland were {{affected}} by the storm. The cyclone caused flooding and a food shortage in the Solomon Islands. An estimated 2,000 people were evacuated as a result. Rough seas and storm <b>surge,</b> as <b>well</b> as strong gusts, were the primary effects of Beni on Vanuatu and New Caledonia. New Caledonia was hit by power outages, and Vanuatu mainly suffered beach erosion.|$|R
40|$|This {{interactive}} tutorial {{features the}} formation of a hurricane and it components, including weather pattern impact. In addition, comparative research of recent hurricanes and their global impact and frequency is provided for evaluation. Detailed explanation of storm <b>surge</b> as <b>well</b> as lesson plans, environmental consequences, assessments and critical thinking for students. Interactive simulations illustrate storm paths and intensity incorporating the Saffir-Simpson Scale. Educational levels: Middle school, High school, General public...|$|R
5000|$|During Beni's existence, {{parts of}} the Solomon Islands, Vanuatu, and Queensland were {{affected}} by the storm. The cyclone caused flooding and a food shortage in the Solomon Islands. An estimated 2,000 people were evacuated as a result. Rough seas and storm <b>surge,</b> as <b>well</b> as strong gusts, were the primary effects of Beni on Vanuatu and New Caledonia. New Caledonia was hit by power outages, and Vanuatu mainly suffered beach erosion.|$|R
