1|58|Public
5000|$|Pinion <b>shaft</b> <b>splines</b> and spline diameter: 26/1.12" [...] (most Dana 44s post 1970), 24/1.25" [...] (JK), 10/1.12" [...] (early pre-1970 Dana 44s) ...|$|E
5000|$|OEM Inner axle <b>shaft</b> <b>spline</b> counts are 16, 23, 30, 32, 33 and 35.|$|R
5000|$|OEM Inner axle <b>shaft</b> <b>spline</b> counts are 10, 19, 29, 30, 32, 33 and 35 ...|$|R
40|$|Abstract. This {{article is}} based on the concept and the {{calculation}} method of polar moment of inertia to derive the calculation formula for polar moment of inertia of rectangle <b>spline</b> <b>shaft</b> and involute <b>spline</b> <b>shaft.</b> Then verified the correctness of the calculation method and laid the foundation for the strength calculation of <b>spline</b> <b>shaft...</b>|$|R
5000|$|... #Caption: Non-destructive {{testing of}} a swing <b>shaft</b> showing <b>spline</b> {{cracking}} ...|$|R
50|$|Dodge uses Dodge {{specific}} input <b>shaft</b> length, <b>spline</b> count, {{and pilot}} diameter.|$|R
50|$|The AW4 is {{also used}} behind the 2.5 L (150 CID) AMC Straight-4 engine. It has a {{removable}} bell housing with a mount for the crankshaft position sensor. Early AW4s used 21-spline output shafts. In 1991 the AW4 was changed to a 23-spline output shaft, concurrent with adoption of the High Output (commonly known as H.O.) inline six-cylinder engine. Some sources state that the output <b>shaft</b> <b>spline</b> change occurred for the 1990 model year. The change most likely occurred during the 1990 model run with early 1990 models receiving 21-spline transmission and later models receiving 23-spline. If swapping transmissions in 1990 model year vehicles either swap the transfer case as well or make sure to check spline count. The input on the transfer case can also be changed to match the output <b>shaft</b> <b>spline</b> count. Rear-wheel-drive-only transmissions {{all have the same}} spline count on the output shaft, only 4x4 models are affected by differing spline count.|$|R
50|$|In {{front wheel}} drive vehicles, the drive shafts {{transfer}} the drive directly from the differential to the front wheels. A short inner stub <b>shaft</b> is <b>splined</b> to the differential side gear and an outer stub <b>shaft</b> is <b>splined</b> to the front wheel hub. Each stub shaft has a yoke, or housing, to accommodate a universal joint, {{at each end of}} a connecting intermediate shaft.|$|R
2500|$|One-piece, {{machined}} from a nitrogen-hardened nickel-chrome {{molybdenum steel}} forging. Statically and dynamically balanced. Seven main bearings and six throws. Internal oilway, with feed from both ends, used to distribute lubricants to main and big end bearings. [...] "Floating" [...] front end bearing consisting of an internally toothed annulus bolted to crankshaft, meshing with and incorporating a semi-floating ring, internally splined {{to a short}} coupling <b>shaft.</b> Coupling <b>shaft</b> <b>splined</b> at front end to driving wheel of propeller reduction gear. Clockwise rotation when viewed from rear.|$|R
30|$|An on-machine {{non-contact}} {{measurement method}} for <b>spline</b> <b>shaft</b> rolling performance evaluation is proposed. To verify {{the validity of}} this method, a measurement prototype mainly consisted of a laser displacement sensor and rotary encoder was built on a rolling machine. Using the prototype established, a <b>spline</b> <b>shaft</b> is scanned and its section figure is obtained.|$|R
40|$|The maximum von Mises {{stress is}} {{calculated}} for solid {{finite element models}} of <b>splined</b> <b>shafts</b> with straight-sided teeth. One <b>spline</b> <b>shaft</b> is stepped with larger diameter section containing spline teeth and the smaller diameter section circular and cylindrical with no spline teeth. A second shaft is not stepped, but contains incomplete spline teeth. Finite element analyses are performed for the cases of a stepped shaft of three different step size ratios (d/D). The second set of models consists of a solid cylindrical <b>shaft</b> with incomplete <b>spline</b> teeth. The incomplete regions of the spline teeth are modeled in three radii (R). Bending, torsion, and combined loads are applied to each model, including several combinations of bending and torsion between pure bending and pure torsion. Finite element stress results are converged to within 2 % for verification. The stresses in the stepped <b>splined</b> <b>shafts</b> are up to 50 % greater than nominal stresses in the non-splined section and up to 88 % greater than nominal stresses splined section. Stresses in the partially <b>splined</b> <b>shaft</b> showed little or no correlation between the hob iii radius and {{the magnitude of the}} peak von Mises stress, but show a strong correlatio...|$|R
